# event jet log1overDelta logkt z Delta kt
1 0 1.16581 -0.0977795 0.0490855 0.311669 0.906849
1 0 1.34915 -0.133281 0.059818 0.259461 0.875219
1 0 1.45556 -0.16703 0.0683013 0.233269 0.846174
1 0 1.9397 0.604701 0.25704 0.143747 1.8307
1 0 2.03067 -0.81321 0.0917358 0.131247 0.443432
1 0 2.39675 -0.797542 0.147895 0.0910134 0.450435
1 0 2.53262 -0.255885 0.341683 0.0794504 0.774231
1 0 3.26037 -2.17199 0.158143 0.038374 0.11395
1 0 3.58707 -1.64152 0.442658 0.0276793 0.193685
1 0 5.07065 -5.07775 0.112699 0.00627833 0.0062339
3 0 1.20729 -0.0780082 0.051038 0.299006 0.924957
3 0 1.62532 0.467228 0.140894 0.196849 1.59557
3 0 1.67379 -0.460184 0.0680219 0.187534 0.631168
3 0 1.73568 -0.497436 0.0748043 0.176281 0.608088
3 0 2.21636 -1.29021 0.0591655 0.109005 0.275213
3 0 2.56441 0.0255523 0.331883 0.0769645 1.02588
3 0 2.73846 -0.486325 0.354225 0.0646701 0.614882
7 0 1.23561 0.658008 0.191676 0.290656 1.93094
7 0 1.4439 0.259837 0.195841 0.236005 1.29672
7 0 2.15916 -0.114041 0.342564 0.115422 0.892221
7 0 2.46182 -1.75009 0.137314 0.0852794 0.173758
7 0 2.56555 -0.753559 0.478022 0.0768771 0.470688
7 0 4.71345 -3.73392 0.398347 0.00897378 0.0238991
8 0 1.18459 0.482292 0.210178 0.30587 1.61978
8 0 1.20266 0.346744 0.236214 0.300393 1.41446
8 0 1.70718 -0.0599074 0.340381 0.181376 0.941852
8 0 2.05556 -0.606959 0.4229 0.128022 0.545006
8 0 2.97779 -3.17839 0.140848 0.0509051 0.0416528
10 0 1.2485 0.0882307 0.0356854 0.286935 1.09224
10 0 1.57654 -0.479566 0.0291167 0.206689 0.619052
10 0 1.61869 0.627183 0.0944538 0.198159 1.87233
10 0 2.21039 -0.0536303 0.0953752 0.109658 0.947782
10 0 2.47411 -2.58339 0.0109355 0.0842379 0.0755177
10 0 2.57634 -0.398823 0.108824 0.076052 0.671109
10 0 2.72719 -1.92955 0.0307235 0.0654025 0.145214
10 0 3.87797 -1.87316 0.105996 0.0206928 0.153638
10 0 4.48126 -2.38205 0.1303 0.0113192 0.0923615
11 0 1.05625 0.264978 0.0515372 0.347756 1.3034
11 0 1.29652 0.559565 0.0925294 0.273481 1.74991
11 0 1.76221 -0.227091 0.0739683 0.171665 0.796848
11 0 2.0041 -0.0455569 0.121868 0.134782 0.955465
11 0 2.43551 0.0820756 0.242706 0.0875533 1.08554
11 0 2.63573 -1.76324 0.0618526 0.0716666 0.171488
11 0 2.83759 -0.250457 0.366087 0.0585666 0.778445
11 0 3.48713 -1.18157 0.435782 0.0305885 0.306797
12 0 1.24014 0.0054433 0.0672323 0.289343 1.00546
12 0 1.63074 -0.0553734 0.100075 0.195784 0.946132
12 0 2.17989 -0.818899 0.0897265 0.113054 0.440917
12 0 2.39266 -0.755749 0.129865 0.0913861 0.469659
12 0 2.89938 -0.141464 0.457726 0.0550573 0.868087
12 0 3.9611 -2.77992 0.174428 0.0190422 0.0620436
15 0 0.992875 2.64889 0.258629 0.37051 14.1383
15 0 1.4593 -0.322218 0.0285018 0.232398 0.72454
15 0 1.51383 -2.41501 0.00382112 0.220065 0.0893664
15 0 1.68416 -2.28275 0.00519117 0.1856 0.102004
15 0 2.13452 0.471161 0.128521 0.118301 1.60185
15 0 2.43588 1.35526 0.482149 0.0875207 3.87778
15 0 2.52313 -1.7131 0.0472386 0.0802081 0.180307
15 0 2.70747 -0.818844 0.145761 0.0667056 0.440941
15 0 3.11659 -0.318394 0.423722 0.0443078 0.727316
15 0 3.6387 -1.65981 0.324052 0.0262865 0.190176
15 0 3.8775 -1.9923 0.436511 0.0207025 0.136381
17 0 0.931287 -0.276608 0.0465023 0.394046 0.758352
17 0 1.14349 -0.306867 0.0583851 0.318704 0.735748
17 0 2.1451 -1.96583 0.032126 0.117056 0.14004
17 0 2.4217 -0.348731 0.220506 0.0887709 0.705583
17 0 2.57414 -1.16741 0.145299 0.0762197 0.311172
17 0 2.96286 -1.24993 0.230866 0.0516709 0.286525
17 0 3.25925 -2.92266 0.0757905 0.0384171 0.0537902
18 0 1.46517 -3.21389 0.00131925 0.231038 0.0401999
18 0 1.78543 -0.283767 0.0340662 0.167725 0.752942
18 0 1.80515 -0.997847 0.0176113 0.16445 0.368672
18 0 2.20787 -1.09321 0.0243741 0.109935 0.33514
18 0 2.50696 -2.12387 0.0120207 0.0815154 0.119569
18 0 2.63303 -0.755724 0.0542131 0.0718605 0.46967
18 0 3.07049 -0.959743 0.0723884 0.0463982 0.382991
18 0 3.38885 -1.61653 0.0556316 0.0337473 0.198587
19 0 1.24412 0.102985 0.0206042 0.288195 1.10847
19 0 2.08838 1.66443 0.232919 0.123888 5.28265
19 0 2.14526 -2.20756 0.00669092 0.117037 0.109969
19 0 2.84367 1.21936 0.416783 0.0582117 3.385
19 0 2.94921 -1.04793 0.0822627 0.0523812 0.350661
19 0 3.85865 -1.2887 0.174937 0.0210964 0.275628
19 0 4.22648 -1.57772 0.229415 0.0146037 0.206445
19 0 4.8795 -2.61092 0.203559 0.00760084 0.0734671
19 0 4.92267 -4.02937 0.064604 0.00727968 0.0177855
20 0 0.954571 0.329151 0.0300154 0.384977 1.38979
20 0 1.17961 -1.49581 0.00624794 0.307398 0.224067
20 0 1.29966 0.233504 0.0399087 0.272626 1.26302
20 0 1.31423 0.70492 0.0675481 0.26868 2.02368
20 0 1.71403 -0.525588 0.0315583 0.180138 0.591208
20 0 2.22393 -0.777746 0.0421574 0.108184 0.459441
20 0 2.24112 0.647781 0.186263 0.10634 1.91129
20 0 2.63896 0.291238 0.238549 0.0714352 1.33808
20 0 3.29586 -3.5811 0.0125744 0.037036 0.0278451
20 0 3.45382 -1.18795 0.163261 0.0316246 0.304846
20 0 3.50993 -1.69309 0.124534 0.0298989 0.183951
20 0 4.21848 -5.33542 0.00756686 0.0147211 0.00481788
20 0 5.58007 -3.18473 0.255611 0.00377231 0.0413894
22 0 1.63267 1.86902 0.463319 0.195408 6.48196
22 0 2.24766 -0.12318 0.217772 0.105646 0.884104
22 0 2.75964 -2.36937 0.0491452 0.0633147 0.0935399
22 0 3.53668 -0.961077 0.459621 0.0291099 0.382481
22 0 4.2983 -2.96955 0.24445 0.0135917 0.0513263
26 0 1.12378 2.88687 0.299589 0.325048 17.9371
26 0 1.48903 -0.0146132 0.0338347 0.225592 0.985493
26 0 1.54862 2.23134 0.350757 0.212541 9.31235
26 0 1.60552 -1.21675 0.0181893 0.200785 0.296191
26 0 1.99618 1.54764 0.433536 0.135853 4.70035
26 0 2.23527 -0.262308 0.159018 0.106964 0.769274
26 0 2.98666 -2.23603 0.0556905 0.0504557 0.106882
26 0 3.2916 -1.33759 0.196456 0.0371944 0.262478
26 0 4.22395 -1.98142 0.326252 0.0146406 0.137873
26 0 4.88943 -5.97962 0.0172852 0.00752571 0.00252979
28 0 1.09485 -0.131121 0.031676 0.33459 0.877112
28 0 1.25027 0.0262912 0.0446549 0.286428 1.02664
28 0 1.47632 1.91266 0.38505 0.228477 6.77107
28 0 1.74651 1.35044 0.466572 0.174382 3.85914
28 0 2.03514 -0.651365 0.157522 0.130662 0.521334
28 0 2.29213 -1.07089 0.158925 0.101051 0.342703
28 0 2.52604 -0.724768 0.337279 0.079975 0.484437
28 0 3.77479 -2.15409 0.424853 0.0229418 0.116009
30 0 0.964766 -2.21898 0.00220657 0.381072 0.10872
30 0 1.00425 -4.77773 0.000178061 0.366318 0.00841507
30 0 1.76468 -0.901735 0.0183744 0.171241 0.405865
30 0 1.95425 0.138815 0.0640144 0.14167 1.14891
30 0 2.57861 1.14609 0.349635 0.0758797 3.14587
30 0 3.30401 -1.5829 0.072495 0.0367356 0.205379
30 0 3.85743 -0.628433 0.353051 0.0211222 0.533427
30 0 4.88886 -1.98384 0.394696 0.00753001 0.13754
32 0 0.928067 -3.26856 0.00100983 0.395317 0.0380611
32 0 1.25876 0.998481 0.100027 0.284007 2.71416
32 0 1.4677 0.202557 0.0617429 0.230454 1.22453
32 0 1.75549 0.541073 0.123069 0.172822 1.71785
32 0 1.90232 -0.863436 0.0398962 0.149221 0.42171
32 0 2.05792 0.411263 0.17349 0.12772 1.50872
32 0 2.32775 -1.2717 0.0510761 0.0975147 0.280354
32 0 2.55205 0.00559843 0.24154 0.077922 1.00561
32 0 2.90205 -1.40617 0.110134 0.0549107 0.245081
32 0 3.24197 -1.07007 0.243294 0.0390867 0.342984
32 0 5.02599 -2.42534 0.493639 0.00656507 0.0884483
33 0 0.979883 0.262483 0.0725238 0.375355 1.30015
33 0 1.12984 -1.38554 0.0174812 0.323086 0.250188
33 0 1.73129 0.437676 0.200552 0.177057 1.5491
33 0 2.17553 -0.319091 0.183518 0.113548 0.72681
33 0 2.2883 -3.74906 0.00814869 0.101439 0.0235399
33 0 2.74429 -0.855291 0.234092 0.0642941 0.425159
33 0 3.25788 -2.37415 0.111847 0.0384699 0.0930938
33 0 3.79142 -2.34644 0.220733 0.0225635 0.0957092
34 0 1.751 -1.61378 0.0144282 0.173601 0.199134
34 0 1.85936 -2.84108 0.0047815 0.155772 0.0583624
34 0 1.89501 0.515929 0.142811 0.150316 1.67519
34 0 2.36152 0.463905 0.25204 0.094277 1.59027
34 0 2.79457 -0.0123462 0.322617 0.0611414 0.98773
34 0 3.05154 -1.40949 0.152278 0.0472861 0.244269
34 0 3.15927 -1.72208 0.146358 0.0424566 0.178695
34 0 3.57455 -1.06932 0.498834 0.0280281 0.343241
34 0 3.82634 -3.36152 0.129371 0.0217892 0.0346826
35 0 1.2384 0.137 0.135399 0.289849 1.14683
35 0 1.44433 -1.44797 0.0394075 0.235904 0.235047
35 0 1.5286 -1.78654 0.0317899 0.21684 0.167538
35 0 1.97241 0.337125 0.42792 0.139121 1.40091
35 0 2.68186 -0.790681 0.492277 0.068436 0.453536
35 0 3.24995 -2.31651 0.372026 0.0387763 0.0986175
39 0 1.20305 -1.87569 0.00998008 0.300278 0.153249
39 0 1.50516 1.54391 0.414849 0.221982 4.68287
39 0 1.57977 -0.126491 0.143627 0.206022 0.881182
39 0 1.75275 -1.14518 0.0719585 0.173297 0.318166
39 0 2.15918 -1.86972 0.0564076 0.115419 0.154167
39 0 2.46791 -3.53036 0.015467 0.0847619 0.0292943
39 0 2.4176 -0.292876 0.380427 0.0891356 0.746115
39 0 3.22166 -1.91749 0.270258 0.0398888 0.146976
39 0 3.3621 -2.06562 0.367468 0.0346623 0.126739
40 0 1.09694 2.14261 0.183161 0.33389 8.52165
40 0 1.16827 -0.970793 0.0107029 0.310904 0.378782
40 0 1.22029 -0.317907 0.0218774 0.295143 0.727671
40 0 1.45497 -0.778423 0.0178392 0.233408 0.459129
40 0 1.79958 -0.453435 0.0354773 0.165369 0.635442
40 0 1.97092 -0.414441 0.0453741 0.139329 0.660709
40 0 2.54953 0.968307 0.33786 0.0781183 2.63348
40 0 2.89688 0.584765 0.491927 0.0551954 1.79457
40 0 3.30764 -2.2328 0.087236 0.0366026 0.107228
40 0 3.35688 -2.2961 0.0942371 0.0348438 0.100651
40 0 3.95803 -1.88596 0.286015 0.0191007 0.151683
40 0 5.58732 -3.43601 0.433625 0.00374504 0.0321927
44 0 1.20927 0.791829 0.150014 0.298416 2.20743
44 0 1.19308 -0.1085 0.0705764 0.303286 0.897179
44 0 1.36347 -0.802757 0.0449647 0.255773 0.448092
44 0 1.59598 -1.7111 0.0239414 0.202709 0.180667
44 0 2.35722 -2.12578 0.0346831 0.0946829 0.119339
44 0 2.95956 -1.35937 0.141199 0.0518418 0.256823
44 0 3.46757 -1.96762 0.148731 0.0311929 0.139789
44 0 3.53582 -4.4043 0.0163584 0.029135 0.0122247
44 0 3.95052 -3.59026 0.0568246 0.0192447 0.0275911
45 0 1.20851 0.67339 0.292177 0.298642 1.96087
45 0 1.64042 -0.424201 0.211551 0.193899 0.654293
45 0 1.90668 -1.47936 0.121873 0.148573 0.227783
45 0 2.06409 -0.748236 0.337038 0.126933 0.473201
45 0 2.59085 -3.1673 0.0766156 0.0749561 0.042117
46 0 1.14805 -1.00739 0.0109388 0.317256 0.365172
46 0 1.22866 -1.16572 0.0102328 0.292684 0.311697
46 0 1.58843 -1.91013 0.00703651 0.204246 0.148061
46 0 1.82447 -0.172654 0.0509854 0.161304 0.841429
46 0 2.17359 -1.16523 0.02823 0.113769 0.31185
46 0 2.52417 -0.521157 0.0785442 0.0801246 0.593833
46 0 2.63511 0.030175 0.165239 0.0717108 1.03063
46 0 3.05135 0.211738 0.359839 0.0472952 1.23582
46 0 3.76793 -3.47408 0.02886 0.0230998 0.0309902
46 0 4.23767 -3.46339 0.0480468 0.0144412 0.0313235
46 0 4.25055 -1.34154 0.426717 0.0142564 0.261444
47 0 1.03386 -0.0819402 0.0287453 0.355632 0.921327
47 0 1.33292 0.893635 0.105561 0.263707 2.444
47 0 1.29743 -0.0492399 0.044297 0.273233 0.951953
47 0 2.48412 -0.791119 0.0723123 0.0833991 0.453337
47 0 2.56402 -1.31326 0.0500838 0.0769945 0.268942
47 0 2.90108 -1.00951 0.10006 0.054964 0.364396
47 0 3.27408 0.0513691 0.466402 0.0378518 1.05271
47 0 4.14 -3.04959 0.0935142 0.0159229 0.0473783
47 0 4.18864 -2.57045 0.174875 0.0151669 0.0765012
49 0 0.951186 4.22572 0.450798 0.386283 68.4241
49 0 1.23305 0.596677 0.0288598 0.291401 1.81607
49 0 1.44695 0.37991 0.0296228 0.235287 1.46215
49 0 2.06915 -0.257276 0.030068 0.126293 0.773155
49 0 2.15906 -3.24983 0.00170122 0.115433 0.0387807
49 0 2.79907 -0.260297 0.0642353 0.0608668 0.770822
49 0 3.17472 -0.580986 0.0725225 0.0418058 0.559347
49 0 3.12497 0.925973 0.335689 0.0439384 2.52432
49 0 3.80056 -1.64113 0.0762234 0.0223583 0.193762
49 0 4.4201 -0.563997 0.450167 0.012033 0.56893
50 0 1.09949 1.23407 0.0588244 0.333042 3.43517
50 0 1.32193 0.725632 0.0468816 0.26662 2.06604
50 0 1.63448 0.00842372 0.0328032 0.195055 1.00846
50 0 1.68629 -2.84133 0.00206662 0.185205 0.0583478
50 0 2.2794 0.601172 0.117165 0.102346 1.82426
50 0 2.50343 0.0115683 0.0920569 0.0818036 1.01164
50 0 3.15552 0.931679 0.488418 0.0426162 2.53877
50 0 3.4813 -3.0985 0.0235003 0.0307673 0.0451169
50 0 3.79326 -0.686783 0.366672 0.022522 0.503192
50 0 4.18746 -2.58765 0.128324 0.0151848 0.0751965
50 0 4.61342 -2.58561 0.225856 0.00991787 0.0753502
51 0 1.14683 -0.264311 0.0597619 0.317643 0.767735
51 0 1.51768 -0.829031 0.0523049 0.219219 0.436472
51 0 2.18882 -0.96662 0.094067 0.112049 0.380367
51 0 2.68876 -1.55853 0.0947069 0.0679652 0.210446
51 0 2.94677 -1.38202 0.161528 0.0525091 0.251071
52 0 1.0983 -3.24813 0.00253945 0.333436 0.0388466
52 0 1.58936 1.44421 0.453904 0.204056 4.23848
52 0 1.64806 -0.582918 0.115904 0.192423 0.558267
52 0 2.26397 -0.187312 0.360379 0.103937 0.829185
52 0 2.74874 -1.06634 0.379722 0.0640083 0.344268
53 0 1.19618 -1.22138 0.00787054 0.302348 0.294822
53 0 1.60772 -0.0118492 0.0401062 0.200343 0.988221
53 0 1.86214 0.427272 0.0835764 0.155339 1.53307
53 0 2.06814 -0.0610216 0.0687336 0.12642 0.940803
53 0 2.27285 0.271686 0.12632 0.103018 1.31217
53 0 2.5579 -0.722145 0.071157 0.0774671 0.485709
53 0 2.59227 0.588968 0.294176 0.0748499 1.80213
53 0 3.06424 -0.0471856 0.353626 0.0466893 0.95391
53 0 3.23634 -0.630674 0.362567 0.0393074 0.532233
53 0 3.52458 -2.80796 0.0860074 0.0294642 0.0603278
53 0 3.60193 -3.22506 0.066995 0.027271 0.0397535
54 0 0.998529 -1.22534 0.00253432 0.368421 0.293658
54 0 1.41312 0.0236263 0.0134051 0.243383 1.02391
54 0 1.47216 -1.47772 0.00321172 0.229429 0.228157
54 0 1.47722 0.20721 0.0174597 0.228272 1.23024
54 0 1.62398 -2.55058 0.00130534 0.197113 0.0780363
54 0 1.89212 -0.96777 0.00832033 0.150751 0.379929
54 0 2.33315 -0.126478 0.0302462 0.0969898 0.881194
54 0 2.37134 -0.506576 0.0221571 0.0933553 0.602555
54 0 2.42688 -0.879389 0.0164981 0.088312 0.415037
54 0 2.51779 -0.866612 0.0186066 0.0806375 0.420373
54 0 3.02594 -2.64898 0.005302 0.0485122 0.0707235
54 0 3.19266 -0.498454 0.0540889 0.0410626 0.607469
54 0 3.49252 -0.399667 0.0851874 0.030424 0.670543
54 0 3.89844 0.37033 0.301812 0.0202735 1.44821
54 0 4.13601 -0.0619188 0.355804 0.0159865 0.939959
54 0 4.5143 -1.15016 0.271556 0.0109513 0.316585
54 0 4.90028 -3.2662 0.0660854 0.00744451 0.038151
54 0 5.51492 -2.80345 0.207827 0.00402625 0.0606004
55 0 1.13681 -0.61078 0.0193557 0.32084 0.542927
55 0 1.41892 -1.80799 0.00790376 0.241975 0.163983
55 0 2.06296 0.175907 0.110223 0.127077 1.19233
55 0 2.42785 1.04167 0.423718 0.0882265 2.83394
55 0 2.52521 -0.474372 0.177955 0.0800411 0.622276
55 0 3.47968 -0.723945 0.438072 0.0308172 0.484836
55 0 4.11147 -2.70426 0.202395 0.0163837 0.0669195
56 0 1.31225 0.771144 0.207032 0.269213 2.16224
56 0 1.64062 -0.541193 0.0974702 0.19386 0.582053
56 0 1.91624 -1.28321 0.0677245 0.14716 0.277147
56 0 2.32379 -0.44538 0.252205 0.0979023 0.640581
56 0 3.19585 -1.53407 0.27156 0.0409319 0.215656
56 0 5.1499 -3.21012 0.492273 0.00579996 0.0403517
57 0 1.14988 -0.70904 0.0403175 0.316674 0.492116
57 0 1.60393 0.482404 0.217392 0.201104 1.61996
57 0 1.58591 0.66173 0.325812 0.204762 1.93814
57 0 2.23778 -0.504631 0.288881 0.106695 0.603729
57 0 2.39778 -1.76073 0.135752 0.0909197 0.17192
57 0 2.67822 -1.87891 0.184696 0.0686855 0.152757
57 0 2.92981 -1.64442 0.368334 0.0534069 0.193125
57 0 3.31361 -2.22656 0.478178 0.0363845 0.107899
58 0 1.04618 -1.41597 0.00850666 0.351278 0.242689
58 0 1.46881 -1.99658 0.00732538 0.2302 0.135799
58 0 2.12139 -0.232691 0.0826508 0.119865 0.792398
58 0 2.15211 -1.00926 0.042736 0.116238 0.364489
58 0 2.465 -0.00998842 0.165733 0.085009 0.990061
58 0 2.81207 0.539776 0.487047 0.0600806 1.71562
58 0 3.45355 -1.29366 0.288268 0.0316331 0.274266
58 0 3.72145 -3.41704 0.0633363 0.0241987 0.0328093
58 0 4.20664 -2.40167 0.30321 0.0148964 0.0905661
60 0 1.50194 1.05457 0.204854 0.222698 2.87074
60 0 1.59123 -2.77167 0.00613794 0.203674 0.0625572
60 0 1.76915 0.472331 0.188754 0.170478 1.60373
60 0 2.37628 -0.804606 0.11905 0.0928952 0.447264
60 0 2.62943 -2.86218 0.0222382 0.0721197 0.0571441
