# event jet log1overDelta logkt z Delta kt
0 0 1.20765 -0.971342 0.0105206 0.298899 0.378575
0 0 1.54097 -3.10651 0.00175424 0.214174 0.0447567
0 0 1.60351 -3.44488 0.00133369 0.201188 0.0319085
0 0 2.45001 -3.02291 0.00474814 0.086293 0.0486596
2 0 1.15504 -1.60926 0.0141757 0.315046 0.200036
2 0 1.34468 -3.27674 0.00328025 0.260624 0.0377511
2 0 1.70714 -2.86653 0.00712638 0.181383 0.0568962
2 0 2.2658 -6.26333 0.000420132 0.103747 0.00190489
2 0 3.27386 -4.05134 0.01052 0.03786 0.0173991
3 0 1.03497 -2.70577 0.00407157 0.355236 0.0668192
3 0 1.29601 -1.82561 0.0127982 0.27362 0.161119
4 0 1.5891 -4.93298 0.000221219 0.204109 0.00720503
6 0 0.93712 -1.15815 0.00914369 0.391754 0.314068
6 0 1.1922 -0.626891 0.020255 0.303554 0.53425
6 0 2.14548 -2.31001 0.00996386 0.117012 0.0992606
7 0 1.11437 -2.72042 0.00311525 0.328122 0.0658471
8 0 1.34091 -4.01558 0.00102477 0.261607 0.0180325
8 0 1.52902 -2.09819 0.00842174 0.216749 0.122678
8 0 1.76527 -2.66247 0.00611756 0.17114 0.0697757
9 0 3.1649 -5.18564 0.000771418 0.0422183 0.00559633
11 0 1.16093 -0.888196 0.0307521 0.313194 0.411397
11 0 1.45362 -1.54697 0.02199 0.233723 0.212891
12 0 1.96046 -5.31008 0.000465275 0.140794 0.00494154
13 0 1.15596 -0.955839 0.0098139 0.314755 0.384489
13 0 1.94778 -2.3316 0.00552739 0.142591 0.0971401
14 0 1.06117 -1.62908 0.00791442 0.346052 0.196109
16 0 0.991377 -1.09604 0.013894 0.371065 0.334191
16 0 1.22909 -1.36287 0.0136792 0.29256 0.255925
16 0 1.72008 -1.22624 0.0259723 0.179052 0.293394
17 0 1.5668 -3.1957 0.00327631 0.208712 0.040938
17 0 1.98397 -3.79393 0.00274267 0.137522 0.0225071
19 0 1.12458 -2.44698 0.00577046 0.324789 0.0865549
19 0 2.67023 -3.39338 0.0105673 0.0692364 0.0335948
20 0 0.967205 -0.613646 0.0260908 0.380144 0.541373
20 0 0.973502 -2.14636 0.00582157 0.377758 0.116909
20 0 2.48157 -5.70858 0.000750695 0.083612 0.00331737
