# event jet log1overDelta logkt z Delta kt
0 0 1.21837 -1.26212 0.00417869 0.295713 0.283052
0 0 1.69401 -0.624918 0.0127665 0.183781 0.535305
0 0 2.0867 -2.70186 0.00239988 0.124096 0.0670809
0 0 2.42015 -0.545946 0.028996 0.0889081 0.579293
0 0 3.33031 -0.868984 0.053715 0.035782 0.419377
0 0 3.30482 0.389023 0.194688 0.0367057 1.47554
0 0 4.41627 -1.01131 0.181096 0.0120793 0.363743
0 0 4.98524 -1.25069 0.307477 0.00683814 0.286307
0 0 6.27793 -3.37904 0.192512 0.00187728 0.0340802
1 0 1.0796 1.63145 0.0704372 0.33973 5.11126
1 0 1.11204 3.27694 0.40081 0.328886 26.4946
1 0 1.40142 2.40843 0.373956 0.246247 11.1165
1 0 2.02404 -0.787991 0.0455436 0.13212 0.454757
1 0 2.52997 -0.853809 0.0740827 0.0796616 0.42579
1 0 2.94787 -0.353768 0.200353 0.0524514 0.702038
1 0 3.34779 -1.24641 0.153067 0.0351618 0.287536
1 0 3.94407 -1.63032 0.223485 0.0193693 0.195868
1 0 4.35085 -2.2 0.244542 0.0128958 0.110803
1 0 4.66504 -2.46847 0.338836 0.00941888 0.0847142
2 0 1.0898 -0.019869 0.0100477 0.336285 0.980327
2 0 1.37183 1.91817 0.0933497 0.253643 6.8085
2 0 1.5558 3.15482 0.423925 0.211021 23.4488
2 0 1.89505 -0.229964 0.0350009 0.150311 0.794563
2 0 2.49206 1.76399 0.483535 0.0827395 5.83565
2 0 2.64362 -0.826651 0.0816777 0.0711033 0.437512
2 0 3.0119 -1.32762 0.077887 0.0491982 0.265108
2 0 3.13129 -0.493386 0.219162 0.0436614 0.610555
2 0 3.87904 -1.96829 0.135644 0.0206706 0.139695
2 0 4.37392 -1.65644 0.351611 0.0126018 0.190817
3 0 1.07456 1.3075 0.0390748 0.341448 3.69691
3 0 1.43259 -2.17222 0.0017925 0.238689 0.113924
3 0 1.64275 -2.07157 0.00245028 0.193447 0.125988
3 0 1.90114 -1.8734 0.00387742 0.149398 0.1536
3 0 2.33516 0.798449 0.0869132 0.0967951 2.22209
3 0 2.47698 -1.15096 0.0156145 0.0839966 0.316334
3 0 3.12788 -2.38942 0.00881431 0.0438107 0.091683
3 0 3.33018 0.675346 0.233268 0.0357866 1.96471
3 0 3.6887 -1.47666 0.0506175 0.0250046 0.228399
3 0 3.87822 -0.324176 0.204025 0.0206876 0.723123
3 0 4.2014 -1.26867 0.137704 0.0149746 0.281205
3 0 4.19495 -0.607986 0.307193 0.0150716 0.544446
4 0 1.14191 2.67054 0.0784138 0.319209 14.4478
4 0 1.46925 3.61002 0.301949 0.230099 36.9666
4 0 1.73511 1.80651 0.0928557 0.176381 6.08916
4 0 2.28946 0.186821 0.0352746 0.101321 1.20541
4 0 2.61506 2.27841 0.409815 0.0731636 9.76115
4 0 2.66492 -0.790547 0.0339157 0.0696047 0.453596
4 0 3.42233 -0.682035 0.0834541 0.0326364 0.505587
4 0 3.64115 -0.0160053 0.220585 0.0262222 0.984122
4 0 4.43698 -0.486549 0.391809 0.0118317 0.614744
4 0 4.77567 -1.1559 0.462843 0.00843242 0.314776
4 0 5.06763 -2.14804 0.427801 0.00629735 0.116712
5 0 1.15047 -1.46775 0.00149321 0.316488 0.230444
5 0 1.59868 -1.4412 0.00240407 0.202164 0.236644
5 0 2.38407 -1.63615 0.00434928 0.0921743 0.194729
5 0 2.42634 -0.978247 0.00879797 0.0883596 0.37597
5 0 2.55912 -0.665888 0.0138528 0.0773726 0.513817
5 0 3.02384 0.603109 0.0795261 0.0486142 1.82779
5 0 3.06568 -0.928461 0.0194769 0.0466219 0.395161
5 0 3.95392 1.12944 0.378041 0.0191795 3.09392
5 0 4.03823 -0.411001 0.141705 0.0176286 0.662986
5 0 4.5727 -1.31019 0.114644 0.01033 0.269768
5 0 4.84681 -0.334117 0.452041 0.00785341 0.71597
5 0 5.12037 -2.63686 0.108434 0.00597381 0.0715854
6 0 0.994818 -0.410083 0.00944725 0.369791 0.663595
6 0 1.16551 2.42345 0.19097 0.311762 11.2847
6 0 1.21269 -3.09074 0.000997026 0.297398 0.0454684
6 0 1.87397 -1.42054 0.0102727 0.153513 0.241583
6 0 2.32883 1.52317 0.310333 0.0974094 4.58672
6 0 2.60133 -2.30299 0.0128781 0.0741746 0.0999591
6 0 2.96163 -0.911419 0.0752124 0.0517346 0.401953
6 0 3.19265 -1.18034 0.0783009 0.0410629 0.307174
6 0 3.58771 -1.45542 0.0957802 0.0276616 0.233303
6 0 3.81005 -0.790582 0.25721 0.0221471 0.453581
6 0 5.387 -2.07294 0.464901 0.00457569 0.125815
7 0 1.30563 0.858803 0.0399342 0.271001 2.36033
7 0 1.56067 -1.96687 0.00318146 0.209996 0.139894
7 0 2.19446 1.48219 0.189309 0.111419 4.40255
7 0 3.16368 0.607608 0.256678 0.0422699 1.83603
7 0 4.14559 -0.187467 0.416236 0.0158341 0.829056
7 0 5.23479 -2.91822 0.138097 0.00532796 0.0540298
8 0 1.34995 2.55483 0.168043 0.259253 12.8691
8 0 1.48126 -1.56143 0.00375521 0.227352 0.209836
8 0 1.54318 -3.47531 0.000591518 0.2137 0.0309521
8 0 1.54423 -0.0214521 0.0187318 0.213476 0.978776
8 0 2.33831 0.678136 0.0849931 0.0964904 1.9702
8 0 2.49219 0.206874 0.0676128 0.0827287 1.22983
8 0 2.57222 -0.899426 0.0259852 0.0763662 0.406803
8 0 2.9063 -0.272759 0.0697246 0.0546779 0.761276
8 0 3.58683 0.824818 0.443591 0.027686 2.28146
8 0 3.95434 -0.55173 0.290644 0.0191713 0.575952
8 0 4.0846 -1.85733 0.126488 0.0168299 0.156089
8 0 4.66828 -2.25784 0.173911 0.00938844 0.104576
9 0 1.01101 -0.41642 0.0143642 0.36385 0.659404
9 0 1.16549 -3.88608 0.000529415 0.31177 0.0205257
9 0 1.73737 -0.0691284 0.0426553 0.175982 0.933207
9 0 1.90734 1.94547 0.395298 0.148474 6.99695
9 0 2.02517 -0.803253 0.047059 0.131971 0.447869
9 0 3.80214 -3.0665 0.0303662 0.0223229 0.0465841
10 0 1.61545 0.396487 0.0477219 0.198802 1.48659
10 0 1.80354 0.693234 0.0813101 0.164715 2.00017
10 0 2.08235 -1.08478 0.019763 0.124637 0.337976
10 0 2.57211 0.276199 0.128282 0.0763745 1.31811
10 0 3.03698 -1.61769 0.0352514 0.0479797 0.198357
10 0 3.09269 -0.191207 0.160846 0.0453799 0.825962
10 0 3.82861 -2.32874 0.0471905 0.0217399 0.0974183
10 0 3.8532 -0.575989 0.2929 0.0212118 0.562149
11 0 1.58366 -1.73857 0.00323324 0.205222 0.175772
11 0 2.06867 -0.518005 0.0178537 0.126353 0.595708
11 0 2.05612 1.151 0.0952205 0.12795 3.16136
11 0 2.53957 -2.42339 0.00478421 0.0789 0.0886209
11 0 2.95395 0.357523 0.117363 0.0521334 1.42978
11 0 4.01082 0.131805 0.305285 0.0181186 1.14089
11 0 5.16446 -1.59429 0.247904 0.00571612 0.203052
12 0 1.0273 -1.0882 0.00298255 0.357972 0.336821
12 0 1.47198 -0.12996 0.012164 0.229471 0.878131
12 0 1.66609 -3.25719 0.000655471 0.188984 0.0384964
12 0 1.66194 0.243446 0.0216409 0.189771 1.27564
12 0 2.19274 -0.626987 0.0157499 0.11161 0.534199
12 0 2.24824 0.591753 0.0572218 0.105585 1.80715
12 0 2.52176 -0.557682 0.0252766 0.080318 0.572535
12 0 2.81217 0.995414 0.16385 0.0600742 2.70584
12 0 2.88239 -2.58101 0.00588074 0.0560007 0.0756973
12 0 2.91477 -1.33158 0.0213141 0.0542166 0.264059
12 0 3.39768 0.614137 0.247036 0.0334508 1.84806
12 0 3.45859 -0.0198632 0.184959 0.0314741 0.980333
12 0 3.88358 -0.512374 0.212116 0.0205769 0.599072
12 0 4.37198 -0.89926 0.297985 0.0126262 0.406871
12 0 4.5724 -2.11613 0.153605 0.0103331 0.120497
12 0 4.84345 -1.58636 0.404225 0.00787983 0.20467
12 0 5.46833 -3.5692 0.174496 0.00421825 0.0281783
13 0 1.07625 -2.43514 0.0007643 0.340871 0.0875851
13 0 1.15877 -2.57335 0.000723441 0.313871 0.0762799
13 0 1.35282 -0.317597 0.0083856 0.258509 0.727896
13 0 1.59394 0.872554 0.0353746 0.203123 2.39302
13 0 2.13322 -0.0764697 0.0243406 0.118455 0.926381
13 0 2.44392 0.579143 0.0655633 0.0868196 1.78451
13 0 2.85307 0.706924 0.120019 0.0576669 2.02774
13 0 4.00408 -2.41938 0.0189196 0.0182411 0.0889767
13 0 4.80135 -2.18054 0.0543485 0.00821862 0.112981
13 0 5.00537 -2.62883 0.0450164 0.00670186 0.072163
13 0 5.34075 -0.97246 0.345446 0.00479226 0.378152
14 0 1.32407 3.08944 0.41303 0.26605 21.9648
14 0 1.35683 1.32611 0.124571 0.257476 3.76637
14 0 1.58134 0.849672 0.110543 0.2057 2.33888
14 0 1.77025 0.0559781 0.067823 0.17029 1.05757
14 0 2.16677 -0.903501 0.0414259 0.114548 0.405149
14 0 2.33049 1.17904 0.408467 0.097248 3.25126
14 0 2.86081 -0.333777 0.258436 0.0572222 0.716213
14 0 3.32977 -0.587829 0.432012 0.0358014 0.555532
15 0 1.02428 0.906338 0.0180256 0.359056 2.47524
15 0 1.18685 2.53506 0.110087 0.305181 12.6172
15 0 1.65405 2.74592 0.242917 0.191273 15.5789
15 0 1.868 2.34513 0.266169 0.154432 10.4346
15 0 2.27072 1.70821 0.286979 0.103238 5.51907
15 0 3.07714 0.481687 0.26439 0.0460907 1.6188
15 0 3.5408 -1.29089 0.097082 0.0289901 0.275025
15 0 4.48226 -1.67502 0.187732 0.0113078 0.187304
15 0 4.66309 -1.28689 0.408254 0.00943727 0.276129
16 0 1.02026 -1.6448 0.00154142 0.360502 0.19305
16 0 1.44724 2.90227 0.222933 0.235219 18.2154
16 0 1.41314 2.88621 0.271635 0.243377 17.9252
16 0 1.73495 2.45203 0.333276 0.176408 11.6119
16 0 2.59647 -1.87367 0.0156446 0.0745364 0.153559
16 0 2.64588 -1.74388 0.0190122 0.0709426 0.174841
16 0 3.37665 -0.35532 0.161344 0.0341616 0.700949
16 0 3.45641 -0.080703 0.274191 0.0315427 0.922468
16 0 3.96848 -1.09431 0.228774 0.0189021 0.334771
17 0 0.954704 0.512983 0.0194539 0.384926 1.67027
17 0 1.50439 0.639541 0.0389952 0.222152 1.89561
17 0 1.83749 0.338628 0.0418834 0.159217 1.40302
17 0 2.50716 0.422364 0.0928443 0.0814991 1.52556
17 0 2.51709 -1.17725 0.0208772 0.0806939 0.308124
17 0 2.97667 0.211304 0.135354 0.0509621 1.23529
17 0 3.15829 0.574815 0.269967 0.0424983 1.7768
17 0 3.46504 -1.48562 0.0640235 0.0312717 0.226361
17 0 3.59164 -1.64437 0.0662389 0.0275531 0.193135
17 0 4.12922 -0.966765 0.239119 0.0160954 0.380311
17 0 4.71042 -1.47139 0.339277 0.00900095 0.229606
17 0 5.12333 -2.06658 0.427931 0.00595613 0.126618
18 0 1.03134 -1.12958 0.00532193 0.35653 0.323168
18 0 1.25779 1.31742 0.0773073 0.284282 3.73376
18 0 1.51613 2.60368 0.392278 0.21956 13.5134
18 0 2.08082 -1.06854 0.0288565 0.124828 0.343508
18 0 2.08569 -1.8695 0.0134027 0.124222 0.154201
18 0 2.15106 -1.63097 0.0184075 0.116361 0.19574
18 0 2.42786 0.834105 0.290893 0.0882251 2.30275
18 0 2.80644 0.205074 0.319223 0.0604199 1.22762
18 0 3.28949 -0.694125 0.309284 0.037273 0.499511
