# event jet log1overDelta logkt z Delta kt
0 0 1.15424 -2.87683 0.000259632 0.315297 0.0563128
0 0 1.17399 -0.629515 0.00250608 0.309131 0.53285
0 0 1.53312 0.257426 0.0087341 0.215862 1.2936
0 0 2.18059 -2.86805 0.000739336 0.112975 0.0568095
0 0 2.48837 -0.494043 0.0108104 0.083045 0.610155
0 0 2.57999 0.621564 0.0365445 0.0757745 1.86184
0 0 2.65269 -2.42083 0.00194655 0.0704614 0.0888476
0 0 3.33689 2.39608 0.47776 0.0355474 10.98
0 0 3.34107 -1.20757 0.0250095 0.0353991 0.298923
0 0 3.64586 -2.35922 0.0109981 0.0260989 0.0944943
0 0 4.11256 -0.931836 0.0739111 0.0163658 0.39383
0 0 4.67151 -1.11765 0.115906 0.00935817 0.327049
0 0 5.25602 -1.14833 0.228102 0.00521605 0.317165
1 0 0.930091 -1.90837 0.000402369 0.394518 0.148321
1 0 1.66421 -2.27978 0.000578524 0.18934 0.102307
1 0 1.71047 0.278668 0.00782947 0.180781 1.32137
1 0 1.96714 -1.18235 0.00236649 0.139856 0.306557
1 0 2.1414 -0.824647 0.00403789 0.11749 0.43839
1 0 2.53647 0.280169 0.0181672 0.0791452 1.32335
1 0 2.8379 0.0462007 0.0197947 0.0585485 1.04728
1 0 3.80716 0.206394 0.0624807 0.0222112 1.22924
1 0 5.00719 0.252543 0.231726 0.00668967 1.28729
1 0 5.27791 0.204852 0.376979 0.00510309 1.22734
1 0 5.59653 -0.338733 0.483188 0.0037107 0.712672
1 0 6.07813 -2.7005 0.142638 0.00229245 0.0671718
1 0 6.60262 -2.46992 0.353991 0.0013568 0.0845912
2 0 1.31154 -0.115608 0.00554104 0.269405 0.890825
2 0 1.31977 -0.445804 0.00403803 0.267197 0.640309
2 0 2.0582 -2.21477 0.00144666 0.127684 0.109179
2 0 2.07665 -0.680435 0.00684453 0.12535 0.506397
2 0 2.97506 -0.228326 0.026598 0.0510445 0.795865
2 0 3.29993 -2.16075 0.00547525 0.0368859 0.115239
2 0 3.69694 -1.72468 0.0126645 0.0247994 0.17823
2 0 3.93166 -1.33849 0.0238662 0.019611 0.262242
2 0 4.17882 -2.80772 0.0072033 0.0153166 0.0603424
2 0 4.2412 -0.734069 0.0614238 0.0143903 0.479952
2 0 5.19124 -0.283027 0.265675 0.00556508 0.7535
2 0 7.13072 -2.08372 0.415655 0.000800142 0.124466
2 0 7.79919 -4.8075 0.0910866 0.000410067 0.00816822
3 0 1.38771 0.586917 0.00843821 0.249646 1.79844
3 0 1.67832 -0.107863 0.0056807 0.186687 0.897751
3 0 2.0867 -0.784578 0.00436857 0.124095 0.456312
3 0 2.69731 -0.43886 0.0114172 0.0673864 0.644771
3 0 2.7514 -0.931608 0.00744788 0.0638386 0.39392
3 0 3.00879 -3.36407 0.000852433 0.0493511 0.0345941
3 0 3.78623 -2.20145 0.00593722 0.022681 0.110642
3 0 3.83468 -0.913674 0.0227241 0.0216083 0.401048
3 0 5.30948 -1.36646 0.0646133 0.00494452 0.255007
3 0 5.34647 0.31807 0.386351 0.00476492 1.37447
3 0 5.45636 -0.522248 0.303275 0.00426909 0.593185
3 0 7.54099 -2.5544 0.458739 0.000530874 0.0777385
4 0 1.13269 -2.8237 0.000181672 0.322165 0.0593857
4 0 1.16813 -2.03898 0.000412626 0.310947 0.130161
4 0 1.65835 1.23525 0.0178066 0.190453 3.43922
4 0 1.89336 -1.93903 0.00095913 0.150565 0.143844
4 0 2.80841 0.92598 0.0420669 0.0603011 2.52434
4 0 3.70897 -3.45685 0.00134982 0.0245027 0.0315288
4 0 3.82443 0.448188 0.0753254 0.0218309 1.56547
4 0 4.2891 1.66754 0.43885 0.0137172 5.29913
4 0 4.53211 0.786124 0.413021 0.010758 2.19487
4 0 4.77855 -0.719474 0.199758 0.00840819 0.487009
4 0 5.49372 -0.911382 0.42124 0.00411253 0.401968
5 0 1.2362 0.641836 0.0152013 0.290487 1.89997
5 0 1.33946 1.13318 0.0279549 0.261988 3.10553
5 0 1.89682 -6.13223 3.51159e-05 0.150045 0.00217174
5 0 2.18771 0.454574 0.034075 0.112174 1.5755
5 0 2.57572 1.47338 0.144026 0.0760992 4.36394
5 0 2.99394 -2.72467 0.00384079 0.0500897 0.0655676
5 0 3.42477 0.17281 0.107536 0.0325569 1.18864
5 0 4.18865 -0.798152 0.0979557 0.0151667 0.45016
5 0 4.67871 -1.53397 0.0849312 0.009291 0.215677
5 0 5.2833 -1.14114 0.251644 0.00507566 0.319455
5 0 5.35367 -1.8294 0.181273 0.00473075 0.160509
6 0 0.961956 2.57026 0.0670225 0.382145 13.0693
6 0 3.00139 1.17308 0.136544 0.0497179 3.23192
6 0 3.4084 0.73738 0.153656 0.0330941 2.09045
6 0 4.68586 -0.482543 0.192306 0.00922475 0.617212
7 0 1.15911 2.27584 0.0628284 0.313766 9.73608
7 0 1.53643 2.02417 0.0760014 0.215148 7.56986
7 0 1.54889 2.27488 0.106837 0.212483 9.72679
7 0 1.90352 -1.19237 0.00532077 0.149043 0.303502
7 0 3.06814 1.64083 0.291416 0.0465075 5.15945
8 0 1.04816 -0.969618 0.00213448 0.350583 0.379228
8 0 1.35926 -1.48466 0.0017444 0.256851 0.22658
8 0 1.74091 -0.617338 0.0060924 0.175361 0.539378
8 0 1.91277 -0.882726 0.00558244 0.147671 0.413654
8 0 2.58861 -0.943248 0.0103868 0.0751243 0.389361
8 0 2.78684 -0.180854 0.0274289 0.0616153 0.834557
8 0 3.2681 -0.80993 0.024327 0.0380787 0.444889
8 0 3.33039 0.11213 0.066722 0.0357793 1.11866
8 0 4.0698 -2.74726 0.00858153 0.0170809 0.0641035
8 0 4.56686 -0.392968 0.149841 0.0103906 0.67505
8 0 4.99921 -0.537653 0.234995 0.00674331 0.584118
8 0 5.46328 -2.58616 0.0629915 0.00423964 0.0753086
8 0 5.69769 -1.82937 0.181139 0.00335369 0.160514
8 0 6.22753 -2.01786 0.311205 0.00197433 0.132939
9 0 0.936292 3.43641 0.0910106 0.392079 31.0751
9 0 1.48559 3.34541 0.157886 0.226368 28.3722
9 0 1.72386 0.405783 0.0125824 0.178376 1.50048
9 0 2.34917 3.26108 0.413428 0.095448 26.0777
9 0 2.81146 1.67532 0.229101 0.0601172 5.34049
10 0 1.76552 -0.870894 0.00498985 0.171098 0.418577
10 0 1.78243 -2.96212 0.000630084 0.168228 0.0517093
10 0 1.84848 -1.8011 0.00215069 0.157477 0.165117
10 0 2.0204 0.27064 0.0203169 0.132602 1.3108
10 0 2.56624 1.74954 0.157047 0.0768237 5.75197
10 0 2.77711 -0.899471 0.0162685 0.0622183 0.406785
10 0 2.9692 -2.05669 0.00629971 0.0513444 0.127877
10 0 3.22335 0.359751 0.0915928 0.0398213 1.43297
10 0 3.51647 -3.65682 0.00243503 0.0297041 0.0258144
10 0 3.59428 -1.58806 0.0208838 0.0274804 0.204323
10 0 4.39756 -3.28339 0.00874098 0.0123073 0.0375009
10 0 4.56405 -0.196804 0.22812 0.0104198 0.821351
10 0 5.14183 -1.6408 0.124286 0.005847 0.193826
10 0 5.67535 -1.91271 0.184363 0.00342948 0.14768
10 0 5.84116 -1.65349 0.345753 0.00290548 0.191381
10 0 6.37432 -2.33344 0.456322 0.00170478 0.0969615
11 0 1.03135 -0.525344 0.00278044 0.356524 0.591352
11 0 1.267 3.43996 0.185201 0.281676 31.1859
11 0 1.75453 1.48915 0.0525772 0.172989 4.43332
11 0 2.50553 2.92798 0.495753 0.0816324 18.6898
12 0 1.30255 -1.68803 0.00106015 0.271837 0.184883
12 0 1.42885 0.9309 0.016515 0.239584 2.53679
12 0 1.87073 2.00707 0.0765905 0.154011 7.44145
12 0 3.26159 1.54721 0.210411 0.0383274 4.69833
12 0 3.35396 1.02996 0.174228 0.0349456 2.80097
13 0 1.1395 1.88744 0.0379567 0.31998 6.60245
13 0 1.28913 -1.45546 0.00161912 0.275509 0.233294
13 0 1.66051 0.652776 0.019358 0.190041 1.92087
13 0 1.84278 -0.706519 0.00608329 0.158377 0.493359
13 0 2.12284 2.01064 0.122594 0.119691 7.46813
13 0 2.74922 -0.0445906 0.0334731 0.0639775 0.956389
13 0 4.31168 -0.181044 0.14414 0.013411 0.834398
