# event jet log1overDelta logkt z Delta kt
0 0 0.983636 1.46659 0.0233237 0.373949 4.33444
0 0 1.13826 1.47961 0.0282054 0.320377 4.39124
0 0 1.86435 0.813599 0.030815 0.154997 2.25601
0 0 2.41585 2.06431 0.192662 0.0892915 7.87988
0 0 2.7846 1.25131 0.153037 0.0617541 3.49491
0 0 3.29144 1.54562 0.402599 0.0372003 4.6909
1 0 0.96249 2.33676 0.0817447 0.381941 10.3477
1 0 1.22237 -0.398399 0.00748908 0.294532 0.671394
1 0 1.43702 2.83503 0.236962 0.237634 17.0309
1 0 2.65238 1.53098 0.28419 0.0704829 4.62271
2 0 1.48618 2.22065 0.133493 0.226236 9.21327
2 0 1.76191 1.75389 0.127073 0.171716 5.77703
2 0 1.83522 2.26896 0.262184 0.159578 9.66938
3 0 1.14779 -1.0781 0.00363794 0.317336 0.340241
3 0 2.75492 2.11848 0.445276 0.0636144 8.3185
4 0 0.946377 -3.3365 0.00023333 0.388145 0.0355613
4 0 1.56197 1.34922 0.0467783 0.209723 3.85443
4 0 2.14457 3.04148 0.477012 0.117119 20.9362
4 0 3.12229 -0.107344 0.104018 0.0440562 0.898217
5 0 0.962545 -2.09667 0.00122282 0.38192 0.122865
5 0 1.07767 -3.643 0.000292633 0.340388 0.0261738
5 0 1.57665 -1.62058 0.003643 0.206667 0.197784
5 0 1.62435 -1.64584 0.00373909 0.197039 0.19285
5 0 2.31417 0.0644405 0.0413701 0.0988482 1.06656
5 0 2.38265 0.56724 0.0764062 0.0923053 1.76339
5 0 3.33098 1.14875 0.381966 0.0357579 3.15425
6 0 1.07829 2.3328 0.094218 0.340177 10.3068
6 0 1.12054 0.191645 0.0127503 0.326102 1.21124
6 0 1.24466 1.36115 0.0470814 0.288038 3.90069
6 0 1.53384 -1.1921 0.00513464 0.215706 0.303584
6 0 1.7093 -1.56863 0.00422076 0.180993 0.20833
6 0 2.20288 1.96819 0.238564 0.110484 7.15773
6 0 2.69045 1.712 0.394674 0.0678504 5.54002
6 0 4.10154 -0.382214 0.329285 0.0165472 0.682349
7 0 1.08759 2.65987 0.132835 0.337028 14.2944
7 0 1.27987 1.02471 0.0361689 0.278073 2.78629
7 0 1.54169 -3.86835 0.000365604 0.214019 0.0208929
7 0 1.73996 3.07694 0.461503 0.175527 21.6919
7 0 2.26229 1.47771 0.291786 0.104112 4.3829
8 0 1.2658 2.61623 0.108653 0.282013 13.684
8 0 1.53486 -1.30543 0.00315983 0.215485 0.271057
8 0 1.71746 2.87049 0.247255 0.179521 17.6457
8 0 1.98936 -1.26685 0.0068826 0.136783 0.281718
8 0 2.45737 1.95799 0.278195 0.0856601 7.0851
8 0 2.6827 -3.10785 0.00304592 0.0683782 0.0446968
8 0 2.73726 -1.88426 0.0109682 0.0647473 0.151942
9 0 1.65174 2.09183 0.0804933 0.191717 8.09975
9 0 1.85758 2.13628 0.112413 0.156051 8.46788
9 0 1.91696 2.7105 0.238296 0.147053 15.0368
9 0 2.34371 2.47745 0.379544 0.0959707 11.9109
10 0 1.03478 1.73897 0.0894837 0.355305 5.69146
10 0 1.66916 2.0031 0.24074 0.188406 7.41197
10 0 2.14695 1.10191 0.207624 0.116839 3.0099
10 0 2.1896 1.24243 0.314283 0.111961 3.46402
11 0 0.959334 2.25498 0.0676763 0.383148 9.53507
11 0 1.22212 -1.15082 0.00313232 0.294606 0.316378
11 0 1.58505 1.97065 0.102267 0.204938 7.17537
11 0 1.77292 -4.51258 0.000210158 0.169836 0.0109701
11 0 1.81097 -1.81151 0.00325249 0.163495 0.163407
11 0 2.09473 -3.9645 0.000503311 0.123103 0.0189776
11 0 3.01241 1.84956 0.422169 0.0491729 6.35701
12 0 1.27707 1.92974 0.0503527 0.278853 6.88771
12 0 1.31476 -2.45979 0.00068308 0.268539 0.0854525
12 0 1.40476 -4.19407 0.000132029 0.245426 0.0150848
12 0 2.16311 2.82031 0.31355 0.114967 16.7821
12 0 2.28052 2.12282 0.255514 0.102231 8.35469
12 0 3.985 0.320353 0.311173 0.0185925 1.37761
13 0 1.08522 -0.972523 0.00258018 0.337827 0.378128
13 0 1.36208 1.59698 0.0445223 0.256128 4.93812
13 0 2.34652 0.354872 0.0360126 0.0957013 1.426
13 0 3.20401 0.31597 0.0846955 0.0405992 1.37159
13 0 3.6397 1.52797 0.480698 0.0262602 4.60882
14 0 2.49055 2.6173 0.267254 0.0828644 13.6986
14 0 2.93218 1.4312 0.173235 0.0532808 4.18373
14 0 3.86326 1.12051 0.389636 0.0209995 3.06641
15 0 0.924497 -1.52705 0.00720675 0.396731 0.217176
15 0 1.02171 -2.11653 0.00443696 0.359978 0.120449
15 0 3.69469 -5.67431 0.0018397 0.0248552 0.00343302
16 0 2.1571 1.93203 0.234812 0.11566 6.9035
17 0 1.02461 2.81884 0.120919 0.358938 16.7574
17 0 1.33623 -4.47198 0.000128067 0.262835 0.0114247
17 0 1.4755 2.38228 0.139196 0.228665 10.8296
17 0 1.60774 2.0113 0.127361 0.20034 7.47305
18 0 1.05795 2.57842 0.0553777 0.347168 13.1763
18 0 1.76974 2.77677 0.145615 0.170377 16.067
18 0 2.53199 1.2999 0.083388 0.0795007 3.66895
18 0 2.78041 1.79725 0.191741 0.0620129 6.03303
19 0 1.14819 -3.26254 0.000305291 0.31721 0.0382909
19 0 1.71713 1.61613 0.070907 0.17958 5.03356
19 0 2.42187 1.64365 0.158722 0.0887553 5.17401
19 0 4.90655 -0.649495 0.228496 0.00739799 0.522309
20 0 0.920457 2.08731 0.0785425 0.398337 8.06322
20 0 1.13354 2.81395 0.216702 0.32189 16.6756
20 0 1.7186 -2.56378 0.00229352 0.179318 0.077013
20 0 2.30502 2.19563 0.481977 0.099757 8.98564
21 0 1.2824 1.25184 0.0405114 0.277372 3.49677
21 0 1.67766 -5.99517 4.46544e-05 0.18681 0.00249075
21 0 2.21036 2.06363 0.240438 0.109662 7.87451
21 0 3.98595 0.740794 0.497816 0.0185748 2.0976
22 0 2.25127 1.73104 0.173531 0.105265 5.64652
22 0 2.54241 1.88257 0.32676 0.0786763 6.5704
23 0 1.48704 1.71297 0.06943 0.226041 5.54539
23 0 2.3338 1.44369 0.132897 0.0969268 4.23632
24 0 1.16909 2.37645 0.266519 0.310649 10.7666
24 0 1.44662 1.81213 0.271647 0.235365 6.12346
24 0 1.80717 1.04938 0.249192 0.164117 2.85588
24 0 2.63267 -2.7473 0.0170069 0.0718862 0.0641005
25 0 1.22541 1.57757 0.141804 0.293637 4.84317
