# event jet log1overDelta logkt z Delta kt
0 0 0.993365 -1.47631 0.000904535 0.370329 0.228479
0 0 1.09326 -0.0292121 0.0042523 0.335121 0.97121
0 0 2.06987 0.380508 0.0170809 0.126202 1.46303
0 0 2.18715 0.265024 0.0174085 0.112237 1.30346
0 0 2.27771 -1.57099 0.00309278 0.102519 0.207839
0 0 2.37261 -0.216925 0.0132114 0.0932375 0.804991
0 0 2.9923 -1.63796 0.00600763 0.050172 0.194375
0 0 3.25312 -1.13106 0.0130237 0.0386535 0.322689
0 0 3.74367 0.173156 0.0794113 0.0236672 1.18905
0 0 4.27688 0.533967 0.210902 0.0138859 1.70569
0 0 4.32966 0.231402 0.208194 0.013172 1.26037
0 0 4.86542 -1.77385 0.0604861 0.0077086 0.169678
0 0 5.34548 -0.254128 0.475603 0.00476968 0.775593
0 0 6.1493 -1.66269 0.495393 0.00213498 0.189629
1 0 1.13419 1.84083 0.0439561 0.321682 6.30178
1 0 1.36346 3.60646 0.337869 0.255775 36.8356
1 0 2.04461 1.21843 0.0925621 0.129431 3.38189
1 0 2.57821 0.0440435 0.053738 0.0759097 1.04503
1 0 2.61909 1.56961 0.27198 0.072869 4.80479
1 0 2.89542 -2.04673 0.0132385 0.0552758 0.129156
1 0 3.24002 -0.717995 0.0715051 0.039163 0.487729
1 0 3.98946 -0.54519 0.19368 0.0185096 0.579732
1 0 4.4043 -0.532894 0.368191 0.0122247 0.586904
1 0 5.00839 -1.71329 0.327495 0.00668162 0.180272
2 0 1.44301 -2.32357 0.000490269 0.236217 0.0979233
2 0 1.91298 -1.47027 0.00184217 0.147639 0.229863
2 0 2.84798 -0.301401 0.0151294 0.0579614 0.739781
2 0 2.89855 -2.3573 0.00206794 0.0551032 0.0946758
2 0 2.91795 -0.901957 0.00905541 0.0540444 0.405775
2 0 3.37983 -0.408992 0.0237432 0.0340532 0.66432
2 0 4.58931 -0.453931 0.0779343 0.0101598 0.635126
2 0 5.05219 -1.15542 0.0665797 0.00639529 0.314926
2 0 5.19768 -0.587226 0.145616 0.00552938 0.555867
2 0 5.86978 -0.944916 0.2334 0.0028235 0.388712
2 0 6.20631 -0.94405 0.426643 0.00201666 0.389049
2 0 7.16111 -2.99095 0.249659 0.000776189 0.0502397
3 0 1.10301 3.98317 0.357257 0.33187 53.6869
3 0 1.24637 1.83028 0.0743325 0.287546 6.23564
3 0 1.42758 -1.71336 0.00278247 0.239888 0.180258
3 0 2.01501 -3.6557 0.000719796 0.133319 0.0258435
3 0 2.98151 1.49788 0.327624 0.0507163 4.47219
3 0 3.21294 -3.58993 0.00379021 0.040238 0.0276002
4 0 0.944171 3.55679 0.152455 0.389002 35.0505
4 0 1.11024 1.19239 0.0199644 0.329479 3.29495
4 0 1.33004 3.21094 0.190049 0.264466 24.8024
4 0 1.9613 2.26377 0.170907 0.140675 9.61924
4 0 1.99563 2.17542 0.195107 0.135929 8.80591
4 0 3.26554 -0.249614 0.0763607 0.0381764 0.779101
4 0 3.61553 0.882867 0.364077 0.0269027 2.41782
5 0 1.43224 -1.92693 0.000939973 0.238773 0.145595
5 0 1.65347 0.16039 0.00946366 0.191384 1.17397
5 0 2.12664 -0.0745918 0.0121235 0.119237 0.928122
5 0 2.21657 -2.30099 0.001449 0.108982 0.10016
5 0 2.24845 -0.869028 0.00627223 0.105563 0.419359
5 0 2.51338 -0.654599 0.0101936 0.0809939 0.51965
5 0 2.77863 -0.467994 0.016181 0.0621236 0.626258
5 0 3.65567 -0.778832 0.0289724 0.0258441 0.458942
5 0 4.15197 -0.623852 0.0572266 0.0157334 0.535876
5 0 4.40524 1.0663 0.42384 0.0122132 2.9046
5 0 5.79862 -1.20556 0.305593 0.00303174 0.299524
5 0 6.15259 -2.52729 0.1672 0.00212797 0.0798754
5 0 6.2345 -2.66309 0.190236 0.00196061 0.0697327
6 0 0.967288 0.998156 0.0106097 0.380113 2.71327
6 0 0.997615 -2.4627 0.000347118 0.368758 0.0852049
6 0 1.01736 -0.748437 0.0019663 0.361548 0.473105
6 0 1.71823 1.55838 0.0398756 0.179383 4.75112
6 0 1.98826 1.34556 0.0439643 0.136934 3.84033
6 0 2.25887 2.57854 0.206773 0.104469 13.1778
6 0 2.74399 1.79865 0.194063 0.0643132 6.04147
6 0 3.28535 1.68973 0.371003 0.0374276 5.418
7 0 1.61705 -2.00565 0.000775837 0.198483 0.134572
7 0 1.91403 0.911694 0.019319 0.147485 2.48853
7 0 2.01034 -1.98732 0.0011947 0.133943 0.137063
7 0 2.21065 -0.409982 0.00707615 0.10963 0.663662
7 0 2.67299 0.0828635 0.0185226 0.0690454 1.08639
7 0 2.76553 0.755378 0.0405573 0.0629426 2.12842
7 0 4.24375 0.234514 0.110108 0.0143537 1.26429
7 0 4.63467 -2.74212 0.00932228 0.00970933 0.0644336
7 0 4.73167 -1.55244 0.0340712 0.00881174 0.21173
7 0 5.16928 0.461528 0.409402 0.00568866 1.5865
7 0 7.20718 -2.45627 0.287554 0.000741246 0.0857538
8 0 1.04027 -1.7671 0.000473936 0.353359 0.170827
8 0 1.44362 4.27073 0.29643 0.236072 71.5739
8 0 2.09628 0.936432 0.0288386 0.122913 2.55086
8 0 3.49911 1.70036 0.259229 0.0302244 5.47592
8 0 4.61469 0.849648 0.456066 0.00990521 2.33882
9 0 1.05307 -1.48806 0.00106597 0.348863 0.225809
9 0 1.50205 -0.11225 0.00661662 0.222673 0.893821
9 0 1.7575 -1.25522 0.00274191 0.172475 0.285012
9 0 1.88131 0.208431 0.0134482 0.152391 1.23174
9 0 2.6143 -2.43506 0.00201755 0.0732187 0.0875923
9 0 3.17759 -0.14534 0.0350539 0.041686 0.864728
9 0 3.32344 -0.625367 0.0260073 0.0360288 0.535065
9 0 3.83015 -0.23833 0.065266 0.0217064 0.787942
9 0 3.99313 -0.130077 0.0915786 0.0184418 0.878027
9 0 4.05065 -2.06691 0.0153932 0.0174111 0.126577
9 0 4.58418 -0.521189 0.125047 0.0102121 0.593814
9 0 5.01626 -1.97346 0.0515258 0.00662928 0.138975
9 0 5.06047 -2.24007 0.0434923 0.00634259 0.106451
9 0 5.364 -0.89623 0.236138 0.00468216 0.408105
9 0 6.06378 -2.64217 0.108596 0.00232559 0.0712069
10 0 1.00959 0.471528 0.00580985 0.36437 1.60244
10 0 1.08014 -0.250321 0.00304649 0.339549 0.778551
10 0 1.15469 -2.32566 0.000413234 0.315155 0.0977192
10 0 1.18906 2.05776 0.0342488 0.304508 7.82838
10 0 1.82464 1.16187 0.0273263 0.161275 3.19589
10 0 2.27525 0.424583 0.0210897 0.102771 1.52895
10 0 2.73248 -0.163103 0.0189086 0.0650574 0.849504
10 0 3.38042 2.09154 0.35113 0.0340331 8.09738
10 0 3.47412 -0.140029 0.0638033 0.0309892 0.869333
10 0 4.01136 -1.93527 0.01937 0.0181088 0.144385
10 0 4.13622 0.851703 0.363252 0.0159832 2.34364
10 0 4.47234 -0.463283 0.21435 0.0114205 0.629215
10 0 4.62231 -0.192128 0.415703 0.00983008 0.825201
10 0 4.92415 -2.11494 0.14066 0.00726891 0.120641
10 0 5.60122 -3.9308 0.0524124 0.00369336 0.0196279
11 0 1.50393 3.01596 0.220332 0.222254 20.4086
11 0 1.56369 -1.47188 0.00337348 0.209362 0.229494
