# event jet Delta kt z psi m2 multiplicity 
0 0 0.286917 1.17726 0.00402913 0.67654 1627.55 54
0 0 0.270605 0.0698714 0.000254572 2.15361 1205.96 52
0 0 0.201741 0.70564 0.0034493 -0.755789 1185.52 50
0 0 0.164154 0.621509 0.00374657 -2.07239 1002.82 46
0 0 0.0703719 0.329593 0.00465206 -1.49747 781.446 43
0 0 0.0640119 1.16065 0.0180934 -2.6044 754.632 41
0 0 0.0618051 1.09465 0.0179995 1.53656 664.442 37
0 0 0.0548952 2.40166 0.0452739 0.142684 356.718 32
0 0 0.0300364 0.584038 0.0210759 -1.79015 204.061 27
0 0 0.0178253 2.36286 0.146772 1.74313 93.4571 23
0 0 0.0177948 1.42965 0.104258 0.240399 39.4102 15
0 0 0.0103185 0.854268 0.119941 -2.17597 19.4155 13
0 0 0.00780098 1.33344 0.281382 0.102631 10.2661 10
0 0 0.00660136 1.39378 0.483653 2.17263 3.5115 8
0 0 0.00282556 0.0652103 0.102387 -1.55722 0.140049 3
0 0 0.00107592 0.0882051 0.405187 1.64701 0.0922467 2
0 1 0.327187 3.6884 0.0116839 2.46939 3743.19 66
0 1 0.283815 1.55761 0.00575522 1.26284 2344.03 50
0 1 0.205386 0.078409 0.000402659 -2.58214 1830.85 45
0 1 0.195087 1.03867 0.00561745 -0.691459 1813.79 43
0 1 0.152571 0.771789 0.00536728 0.948367 595.585 40
0 1 0.10585 0.699299 0.00704753 1.74686 456.984 35
0 1 0.0834922 0.199901 0.00257218 -3.01416 379.5 32
0 1 0.054038 3.23628 0.0645046 -1.13387 355.528 31
0 1 0.0441898 1.754 0.0456993 1.6104 186.036 28
0 1 0.0354936 0.371119 0.0126147 2.74367 106.579 21
0 1 0.0261976 1.20708 0.0562983 0.0301605 93.0661 20
0 1 0.0190355 0.866706 0.0589511 1.74775 48.9808 17
0 1 0.0134903 0.403559 0.0411584 -1.11427 27.2428 15
0 1 0.0103522 2.87977 0.399161 -2.03563 22.4693 13
0 1 0.00777684 1.18924 0.3652 1.95894 4.9498 9
0 1 0.0061574 0.0501543 0.0306436 -0.791946 1.13754 6
0 1 0.00492815 0.4165 0.328001 -2.94588 1.02555 5
0 1 0.00326332 0.166553 0.294761 -0.755057 0.443624 3
0 1 0.00261026 0.0200376 0.062864 2.75884 0.266054 2
0 2 0.365097 0.471595 0.0230637 -0.788144 25.0469 8
0 2 0.185176 1.07337 0.105788 0.321969 11.2788 6
0 2 0.036316 0.646233 0.363163 -2.10967 1.21052 4
0 3 0.357324 3.03412 0.313035 0.586851 47.1151 18
0 3 0.235736 0.686828 0.156353 -1.62043 9.68818 9
0 3 0.190293 0.043486 0.0145331 -2.70501 5.33979 7
0 3 0.121079 0.87838 0.467327 -0.120541 5.13622 6
0 3 0.0933346 0.28722 0.372017 0.932131 1.70787 4
0 3 0.0525551 0.00142327 0.00521334 1.80134 0.245383 2
0 4 0.392146 2.11173 0.220191 1.2615 49.8387 16
0 4 0.314885 1.89593 0.313592 -0.653615 19.6618 11
0 4 0.270036 0.153184 0.0430212 2.19633 4.50488 5
0 4 0.0928305 0.428319 0.365648 1.57662 2.3768 2
1 0 0.296625 22.8582 0.0765366 0.599021 7691.28 52
1 0 0.210211 0.762093 0.00389882 2.78853 464.588 31
1 0 0.165152 0.0203106 0.000132775 -2.57102 294.903 29
1 0 0.116739 0.197568 0.00182741 1.10688 291.76 28
1 0 0.0680315 0.497349 0.00790812 0.47372 269.928 27
1 0 0.0504167 0.31263 0.00676124 -1.71656 237.014 26
1 0 0.0501003 0.257651 0.00564553 -2.82101 221.146 25
1 0 0.0468442 0.194935 0.00459417 1.49827 208.062 23
1 0 0.0304311 0.414207 0.0150963 2.68944 198.686 20
1 0 0.0192055 6.33875 0.371666 1.59101 183.392 19
1 0 0.0104034 0.0930937 0.0160373 0.507393 9.60491 7
1 0 0.0086088 2.01076 0.425426 1.94727 8.92768 6
1 0 0.00445191 0.079051 0.0562887 -0.468502 0.47014 3
1 0 0.000906824 0.13454 0.498369 2.90538 0.0182196 2
1 1 0.357105 0.888851 0.0025539 1.03683 755.827 22
1 1 0.23383 0.310726 0.00136696 -2.07165 188.658 18
1 1 0.0867313 0.244754 0.00290685 -2.7116 104.228 16
1 1 0.0511291 0.31619 0.0063887 1.81439 76.7625 15
1 1 0.00928804 0.421193 0.0471491 1.33172 57.786 14
1 1 0.00879538 0.0554677 0.00688139 2.94427 41.7396 11
1 1 0.00759036 1.08621 0.157232 -2.14124 41.0114 10
1 1 0.00269238 0.124638 0.0603528 -0.14767 19.8477 6
1 1 0.00183052 0.283201 0.214653 2.85418 18.4226 5
1 1 0.0012461 0.0473219 0.0670909 0.522095 0.609648 3
1 1 0.000559377 0.0181247 0.0613596 1.52449 0.268828 2
1 2 0.300624 6.7307 0.146365 -1.30382 643.705 36
1 2 0.202502 1.606 0.0607246 1.16797 179.612 21
1 2 0.117775 2.21354 0.153098 -0.442231 120.399 17
1 2 0.109068 0.448905 0.0395827 2.43507 19.9886 8
1 2 0.0580613 0.772521 0.133214 0.575501 8.59152 7
1 2 0.0321679 0.849225 0.304927 -0.880224 3.92452 4
1 2 0.00389196 0.0707501 0.302081 -0.2389 0.43084 2
1 3 0.266563 0.0943957 0.00381449 2.05783 38.8442 10
1 3 0.212222 0.67047 0.0341599 -1.7956 31.3171 9
1 3 0.0916767 0.997587 0.121784 -2.49352 17.3913 7
1 3 0.0795621 0.985404 0.157795 2.47001 8.79425 5
1 3 0.0296414 0.313842 0.16016 3.13145 0.574173 3
1 4 0.344149 2.71951 0.125067 0.443369 113.304 19
1 4 0.240388 0.143935 0.0108284 -2.72865 34.1188 13
1 4 0.205585 1.55851 0.138518 -1.07024 29.9556 11
1 4 0.0917128 0.92464 0.213734 -0.587739 6.49641 7
1 4 0.0751112 0.215681 0.0774215 1.83093 2.34344 4
1 4 0.0463018 0.144575 0.0912458 -2.73304 1.41744 3
1 4 0.0297958 0.333741 0.360177 2.12658 0.904926 2
1 5 0.349706 1.01951 0.051508 0.358775 144.512 27
1 5 0.326132 0.456588 0.02606 -2.3878 115.817 24
1 5 0.279647 1.99235 0.135724 2.57118 84.4081 22
1 5 0.18457 0.0594961 0.0071047 -0.69739 43.0886 13
1 5 0.148641 1.50936 0.225308 2.06992 42.291 12
1 5 0.120055 1.75814 0.419262 -2.08542 12.2587 9
1 5 0.0995362 0.185393 0.0918172 1.26514 4.41273 5
1 5 0.0909595 0.361847 0.215787 -0.213489 3.50386 4
1 5 0.0412491 0.256008 0.429246 2.38982 2.2063 2
2 0 0.380651 0.595818 0.00158697 -0.594361 1384.87 47
2 0 0.191808 1.13848 0.00602746 -1.56585 1115.81 45
2 0 0.177962 0.520013 0.00298516 0.2803 866.757 40
2 0 0.101748 1.71894 0.0173091 2.93647 765.33 38
2 0 0.0691084 2.39668 0.0361579 -1.35005 526.71 32
2 0 0.0591027 2.80423 0.0513222 -2.34225 356.379 29
2 0 0.0525334 1.50824 0.0327337 -0.051493 148.109 19
2 0 0.0317005 0.826745 0.0307409 0.667743 73.2744 15
2 0 0.0218752 0.819076 0.0455346 -2.24078 49.8299 13
2 0 0.0204042 0.297555 0.0185805 2.03338 30.8357 11
2 0 0.0141377 0.66055 0.0606566 -0.0657976 24.9185 8
2 0 0.00879577 0.277476 0.0435994 -1.15573 7.40909 5
2 0 0.0071058 0.394213 0.0801688 0.378892 5.04343 4
2 0 0.00366259 0.987649 0.423637 1.15257 2.999 3
2 0 0.00151961 0.160609 0.288084 -2.16709 0.937109 2
2 1 0.243377 0.124561 0.000574255 -1.35729 4110.87 58
2 1 0.220114 2.59984 0.0132567 2.73867 4081.34 57
2 1 0.152424 19.2936 0.143972 1.40725 3319.66 52
2 1 0.107683 0.734549 0.00906347 -0.94422 335.928 34
2 1 0.09818 0.482317 0.00658676 0.291944 245.014 32
2 1 0.0842434 0.595754 0.00954467 -2.02562 186.056 29
2 1 0.0430183 0.177198 0.00561303 0.043948 144.172 27
2 1 0.0387887 0.108125 0.00381994 1.76185 137.833 26
2 1 0.0299155 0.38771 0.0178282 2.78089 134.268 25
2 1 0.0216105 1.97392 0.12793 -2.06549 122.494 23
