# event jet log1overDelta logkt z Delta kt
1 0 0.97118 -0.145015 0.0259071 0.378636 0.86501
1 0 1.52014 -2.31137 0.00527642 0.218681 0.0991254
1 0 1.60662 -0.996284 0.0215442 0.200564 0.369249
1 0 2.1917 -0.4806 0.0661764 0.111727 0.618412
1 0 2.49375 -0.584807 0.0863563 0.0825998 0.557214
1 0 2.76882 -0.106877 0.200668 0.0627362 0.898636
1 0 3.17487 -0.615826 0.22649 0.0417997 0.540195
1 0 3.62394 -0.534788 0.497494 0.0266773 0.585794
2 0 0.957358 -1.09236 0.012841 0.383906 0.335424
2 0 1.32649 -0.561538 0.031985 0.265406 0.570331
2 0 1.39831 -1.85058 0.00978195 0.247013 0.157146
2 0 1.60881 -0.499884 0.0470244 0.200126 0.606601
2 0 1.79072 -1.17786 0.0300366 0.16684 0.307937
2 0 2.18214 1.0074 0.407314 0.1128 2.73847
2 0 2.91892 -3.08628 0.0239446 0.0539918 0.0456714
2 0 3.19819 -3.50123 0.0214191 0.040836 0.0301603
2 0 3.58344 -1.22169 0.314415 0.02778 0.294732
2 0 3.80024 -3.37158 0.0663603 0.0223653 0.0343352
3 0 1.32786 0.130691 0.107595 0.265043 1.13962
3 0 1.73969 -0.362361 0.111036 0.175575 0.696031
3 0 2.77224 -1.44555 0.118738 0.0625217 0.235616
3 0 3.33221 -1.1912 0.304156 0.0357142 0.303856
6 0 1.12661 -0.338879 0.0281103 0.32413 0.712568
6 0 1.52674 -0.735825 0.0290153 0.217242 0.47911
6 0 1.696 0.447222 0.115346 0.183415 1.56396
6 0 1.89173 -0.178101 0.0847773 0.15081 0.836858
6 0 2.37294 0.275521 0.23578 0.0932064 1.31722
6 0 2.53447 -1.17956 0.0846227 0.0793036 0.307415
6 0 3.37699 -1.12548 0.226607 0.0341501 0.324497
6 0 4.31899 -4.34237 0.0301228 0.0133134 0.0130056
7 0 1.0454 1.21691 0.119839 0.35155 3.37675
7 0 1.20415 0.0166289 0.0479782 0.299947 1.01677
7 0 2.08279 -0.734564 0.0572251 0.124583 0.479715
7 0 2.66204 -0.190997 0.186549 0.0698057 0.826135
7 0 3.06431 -0.842112 0.178802 0.0466861 0.4308
7 0 6.01855 -3.17359 0.40587 0.00243319 0.0418531
8 0 1.05331 -2.07899 0.0130762 0.34878 0.125057
8 0 1.11423 -0.191539 0.0926006 0.328168 0.825688
8 0 2.00596 -0.751878 0.142147 0.134531 0.47148
8 0 2.19661 -0.0639002 0.398386 0.111179 0.938099
8 0 3.01716 -5.38158 0.0073774 0.0489401 0.00460053
9 0 0.981663 0.144217 0.0949992 0.374687 1.15514
9 0 1.36444 -0.844407 0.0571888 0.255524 0.429812
9 0 1.63781 -2.32598 0.0181161 0.194405 0.0976881
9 0 2.45343 -0.259065 0.329457 0.0859984 0.771773
9 0 3.00096 -1.43715 0.261476 0.0497394 0.237604
10 0 1.05241 1.66062 0.124403 0.349095 5.26255
10 0 1.2595 0.040614 0.0345637 0.283796 1.04145
10 0 1.30904 0.909519 0.0895987 0.270079 2.48313
10 0 1.59632 0.424709 0.0807139 0.20264 1.52915
10 0 1.91588 -0.557725 0.0452492 0.147212 0.57251
10 0 2.20133 0.295929 0.147956 0.110656 1.34437
10 0 2.32233 -1.26414 0.0411776 0.0980451 0.282481
10 0 2.42361 -0.561347 0.0959383 0.0886016 0.57044
10 0 2.74504 -0.101272 0.231831 0.0642458 0.903687
10 0 3.65844 -1.21568 0.246826 0.0257727 0.296507
10 0 3.77573 -1.14935 0.393766 0.0229204 0.316842
10 0 4.08661 -2.6712 0.193497 0.0167961 0.0691692
10 0 4.69002 -4.62034 0.0624631 0.00918652 0.00984942
11 0 1.05428 0.682775 0.14187 0.348444 1.97936
11 0 1.4928 1.23017 0.441422 0.224743 3.42181
11 0 1.42017 0.552438 0.372649 0.241674 1.73748
11 0 1.7327 -0.932879 0.18383 0.176806 0.393419
11 0 1.79888 -2.7285 0.0399353 0.165483 0.0653172
11 0 2.29516 -1.87969 0.159658 0.100745 0.152637
11 0 2.24299 -0.863584 0.497598 0.106141 0.421648
11 0 2.82453 -3.261 0.161102 0.0593365 0.03835
12 0 1.75672 1.02636 0.11 0.17261 2.7909
12 0 2.09092 -0.71517 0.0302497 0.123574 0.489109
12 0 2.92479 -2.16074 0.01692 0.053676 0.11524
12 0 3.90779 0.0175805 0.406214 0.0200848 1.01774
13 0 1.05517 -0.383794 0.0258217 0.348134 0.681272
13 0 1.64366 -1.29428 0.0192038 0.193272 0.274096
13 0 1.72541 -1.56337 0.0162348 0.178101 0.209429
13 0 2.0074 0.407094 0.156956 0.134338 1.50245
13 0 2.76391 -0.961313 0.100961 0.0630446 0.38239
13 0 2.8976 -0.224695 0.268082 0.0551553 0.79876
13 0 3.32847 -2.21864 0.0767277 0.0358479 0.108757
