# event jet log1overDelta logkt z Delta kt
7 0 1.19971 -3.24887 0.00225598 0.301282 0.038818
7 0 1.44799 -1.96619 0.0104521 0.235043 0.139989
7 0 1.72533 0.624 0.185391 0.178114 1.86638
7 0 1.95695 0.0810856 0.166475 0.141289 1.08446
7 0 2.29006 -0.00441048 0.255778 0.10126 0.995599
7 0 2.64486 -1.31952 0.131523 0.0710151 0.267263
7 0 3.33321 -1.68518 0.209097 0.0356783 0.185411
7 0 3.63666 -2.52506 0.154614 0.0263402 0.0800539
7 0 5.46301 -3.55079 0.407282 0.00424078 0.0287019
13 0 1.53211 1.07323 0.124675 0.216078 2.9248
13 0 1.58672 -2.03498 0.00672039 0.204595 0.130683
13 0 1.98196 -1.64492 0.0148377 0.137799 0.193029
13 0 2.20781 0.673597 0.191798 0.109941 1.96128
13 0 2.39559 -0.385994 0.0992075 0.0911187 0.679775
13 0 2.57693 -0.462148 0.122325 0.0760067 0.629929
13 0 2.90756 -0.2436 0.241334 0.0546087 0.783801
13 0 3.73969 -1.01459 0.338156 0.0237614 0.362549
13 0 3.93834 -1.92663 0.250337 0.0194805 0.145638
13 0 4.06405 -2.89441 0.143862 0.0171793 0.0553318
16 0 0.970621 -0.174158 0.051857 0.378848 0.840164
16 0 0.996222 -1.7446 0.0116676 0.369272 0.174715
16 0 1.38642 0.103883 0.11043 0.249969 1.10947
16 0 1.61198 -0.916946 0.0560251 0.199493 0.399738
16 0 1.71216 0.432834 0.25238 0.180476 1.54162
16 0 2.71264 -0.942386 0.231993 0.0663616 0.389697
16 0 3.41686 -3.39709 0.052467 0.0328153 0.0334706
16 0 4.01946 -2.53553 0.23942 0.0179627 0.0792196
20 0 1.28701 -1.20337 0.051508 0.276095 0.300181
21 0 1.33404 0.106595 0.128763 0.26341 1.11248
21 0 1.42024 -0.623605 0.0774835 0.241657 0.536009
21 0 1.53738 -0.00371364 0.175231 0.214943 0.996293
21 0 2.10163 0.15327 0.436988 0.122257 1.16564
21 0 2.2711 -2.43239 0.0692633 0.103199 0.0878265
21 0 2.63286 -1.47138 0.279308 0.0718724 0.229608
21 0 2.648 -1.68615 0.317284 0.070793 0.185231
21 0 2.93862 -2.66162 0.234266 0.0529385 0.0698353
21 0 3.17931 -2.69485 0.376457 0.0416142 0.0675528
21 0 3.84921 -4.30374 0.236073 0.0212965 0.0135178
22 0 1.13953 -0.0726065 0.034702 0.319968 0.929967
22 0 1.55151 1.98831 0.425785 0.211928 7.30321
22 0 1.64801 -0.205555 0.090998 0.192433 0.814196
22 0 1.65295 -3.13563 0.00537152 0.191483 0.0434722
22 0 1.91202 0.587257 0.28894 0.147782 1.79905
22 0 2.12045 0.21639 0.345393 0.119977 1.24159
22 0 2.4845 -0.630198 0.325417 0.0833671 0.532486
22 0 2.63118 -1.13026 0.338773 0.0719934 0.32295
22 0 2.99376 -2.47248 0.192319 0.0500985 0.0843753
24 0 0.935917 -3.13902 0.000896246 0.392226 0.0433251
24 0 1.08503 -2.08295 0.00299351 0.337893 0.124562
24 0 1.3958 0.42945 0.0505301 0.247636 1.53641
24 0 2.34813 -0.836871 0.0388772 0.0955477 0.433063
24 0 2.77968 -0.851356 0.0613814 0.0620582 0.426836
24 0 3.20998 0.362973 0.338686 0.0403574 1.4376
24 0 3.46694 -0.762787 0.214819 0.0312123 0.466365
24 0 3.89222 -1.12323 0.291909 0.0204 0.325228
24 0 4.26284 -1.72516 0.327105 0.0140823 0.178144
25 0 1.34564 -0.692423 0.032489 0.260373 0.500362
25 0 1.4348 0.0104071 0.0741311 0.238164 1.01046
25 0 2.35675 0.59457 0.361033 0.0947275 1.81225
26 0 1.35585 -1.35539 0.0183693 0.257728 0.257846
26 0 1.4627 -0.790808 0.0366216 0.231611 0.453478
26 0 1.83006 -2.29348 0.0122134 0.160403 0.100915
26 0 1.89996 -2.84553 0.00763381 0.149575 0.0581035
26 0 2.69218 -0.695222 0.145871 0.0677333 0.498964
26 0 2.93399 -0.724877 0.211112 0.0531845 0.484384
26 0 3.35964 -1.70297 0.154008 0.0347477 0.182141
26 0 3.94597 -2.57799 0.136392 0.0193325 0.0759261
26 0 4.38374 -1.94213 0.462113 0.0124786 0.143399
27 0 1.08703 0.507419 0.128676 0.337217 1.661
27 0 1.3992 -0.478736 0.0752255 0.246794 0.619566
27 0 1.85227 -0.19375 0.169873 0.15688 0.823864
27 0 1.93657 -3.92425 0.00533872 0.144198 0.019757
27 0 2.09022 0.0748252 0.341397 0.123659 1.0777
27 0 2.3876 -2.85319 0.0373359 0.0918503 0.0576599
27 0 2.89589 -1.00484 0.409381 0.0552498 0.366103
27 0 4.01039 -4.79641 0.047663 0.0181264 0.00825937
28 0 1.10161 -1.44339 0.0149781 0.332334 0.236127
28 0 1.18289 -0.812583 0.0309836 0.306392 0.443711
28 0 1.80813 -0.555155 0.0772254 0.163961 0.573983
28 0 2.52269 -0.437404 0.192274 0.0802433 0.645711
28 0 2.72285 -1.23396 0.13111 0.0656872 0.291137
33 0 1.1513 -0.709524 0.00813276 0.316224 0.491878
33 0 1.41407 0.0509058 0.0227992 0.243151 1.05222
33 0 2.0556 -1.04594 0.014796 0.128016 0.351361
33 0 2.17927 -3.9102 0.000969156 0.113124 0.0200366
33 0 2.22402 0.338811 0.0710508 0.108173 1.40328
33 0 2.52568 0.295816 0.0990626 0.0800036 1.34422
33 0 3.3218 -2.00715 0.0243667 0.036088 0.134371
33 0 3.62221 -0.669301 0.128528 0.0267235 0.512066
33 0 3.80502 -2.70498 0.0231233 0.0222587 0.0668715
33 0 4.2423 -0.125281 0.483578 0.0143745 0.882249
33 0 5.05704 -1.98796 0.328357 0.0063644 0.136975
33 0 5.89568 -2.89469 0.456708 0.00275131 0.0553163
36 0 0.930651 -1.10976 0.0235474 0.394297 0.32964
36 0 2.0711 -3.08112 0.0105057 0.126047 0.0459077
36 0 2.6094 -0.306732 0.291375 0.0735785 0.735848
36 0 2.92501 -3.0005 0.0381241 0.053664 0.0497623
36 0 3.67726 -1.24799 0.485129 0.0252921 0.28708
36 0 4.61713 -2.94867 0.440294 0.00988108 0.0524092
37 0 1.1717 0.616781 0.161274 0.309841 1.85295
37 0 1.2733 0.729081 0.237095 0.279908 2.07317
37 0 1.48596 -1.46812 0.0427114 0.226284 0.230358
37 0 1.57894 -1.34446 0.0553813 0.206194 0.260679
37 0 2.03587 0.0158902 0.360771 0.130567 1.01602
37 0 2.36714 -0.727972 0.373371 0.0937482 0.482887
