# event jet Delta kt z psi m2 multiplicity 
0 0 0.370329 0.228479 0.000904535 -2.67893 1325.12 32
0 0 0.335121 0.97121 0.0042523 2.32558 1158.1 30
0 0 0.126202 1.46303 0.0170809 -2.47997 528.426 26
0 0 0.112237 1.30346 0.0174085 -1.0921 384.044 23
0 0 0.102519 0.207839 0.00309278 1.27309 254.131 19
0 0 0.0932375 0.804991 0.0132114 2.73968 160.409 18
0 0 0.050172 0.194375 0.00600763 -0.631544 77.4064 16
0 0 0.0386535 0.322689 0.0130237 1.78529 67.5043 15
0 0 0.0236672 1.18905 0.0794113 -2.50558 57.3581 14
0 0 0.0138859 1.70569 0.210902 2.8002 36.9471 12
0 0 0.013172 1.26037 0.208194 -1.9153 19.4875 9
0 0 0.0077086 0.169678 0.0604861 -1.13746 2.1116 6
0 0 0.00476968 0.775593 0.475603 0.117386 1.26115 5
0 0 0.00213498 0.189629 0.495393 2.55523 0.0759498 2
0 1 0.306055 0.141744 0.0011846 -2.58299 470.673 42
0 1 0.167957 1.3394 0.0204164 0.225241 453.246 41
0 1 0.164388 0.634974 0.0100938 2.98015 348.589 38
0 1 0.147777 0.0669968 0.0011968 1.77553 296.015 36
0 1 0.132327 0.48904 0.00976724 -0.803836 275.838 35
0 1 0.122261 0.592209 0.0129278 -1.83348 242.548 32
0 1 0.073921 0.152472 0.00557704 -3.05436 180.956 30
0 1 0.0642503 0.957235 0.0405065 0.437034 169.845 27
0 1 0.0412523 0.715835 0.0491704 -1.72889 89.4027 22
0 1 0.0302669 1.91788 0.188828 0.514479 75.2042 21
0 1 0.0291475 0.858621 0.108217 1.98008 44.7759 16
0 1 0.0231893 1.59965 0.284156 -2.66467 23.4735 14
0 1 0.0167675 1.25321 0.430073 -0.351854 9.1117 9
0 1 0.00907813 0.253751 0.282214 2.56765 1.07845 4
0 1 0.0048063 0.0229847 0.0672665 -0.483434 0.0366916 3
0 1 0.00040877 0.00772286 0.284912 1.19968 0.0273908 2
0 2 0.367338 0.782436 0.00834331 -0.94754 601.247 51
0 2 0.242824 2.06366 0.0335636 -2.00392 507.285 48
0 2 0.139588 0.0683529 0.002001 -0.309066 261.7 39
0 2 0.0974494 10.8122 0.454233 -1.94039 258.854 38
0 2 0.0851705 0.461961 0.0406809 -0.0042053 41.6804 19
0 2 0.0680896 2.05539 0.23594 2.53323 34.7392 16
0 2 0.0602208 0.0187493 0.00318494 1.227 13.2658 11
0 2 0.038956 1.33058 0.350497 -2.2344 7.28351 10
0 2 0.015692 0.0561597 0.0565432 -2.8305 1.12844 6
0 2 0.0106981 0.220813 0.345639 -0.0402375 0.690042 5
0 2 0.00900152 0.0606681 0.172478 1.89728 0.0411992 2
0 3 0.200959 1.32415 0.0384296 -2.42564 157.176 24
0 3 0.196308 0.568891 0.0175748 0.890515 108.445 23
0 3 0.101541 1.23411 0.075002 2.83063 74.8201 22
0 3 0.0910174 1.40313 0.10283 0.850768 50.1717 19
0 3 0.0671995 0.79707 0.088186 1.75202 27.8174 16
0 3 0.0538431 1.78387 0.27009 -2.57461 17.8084 12
0 3 0.0370995 1.0785 0.324668 0.985255 4.60161 9
0 3 0.0325956 0.189565 0.0961754 -1.1262 1.37273 6
0 3 0.0224621 0.318126 0.259126 -2.95276 0.752304 5
0 3 0.0147408 0.172406 0.288831 -2.15296 0.098807 3
0 3 0.00961357 0.107731 0.389129 0.688673 0.0182196 2
0 4 0.352681 0.720914 0.014896 -2.62317 315.719 27
0 4 0.20549 1.04096 0.0374492 -0.372801 243.784 22
0 4 0.152296 1.76648 0.0890009 -3.04044 179.674 20
0 4 0.151406 1.61429 0.0897903 1.15976 120.685 16
0 4 0.108268 4.11384 0.3511 0.168406 74.6873 13
0 4 0.105496 0.776254 0.104777 1.76614 16.0753 8
0 4 0.0357212 0.313875 0.139757 0.542301 9.61667 6
0 4 0.0213538 0.100822 0.0872976 1.26298 6.25062 5
0 4 0.0126638 0.0980225 0.156801 2.98795 3.02372 4
0 4 0.00562109 0.0947539 0.404978 -0.452536 2.18602 2
0 5 0.268488 3.3001 0.208341 -0.38355 193.316 21
0 5 0.249266 0.077026 0.00661606 -1.93496 50.317 12
0 5 0.202405 0.640912 0.0682474 1.57337 49.0719 10
0 5 0.140552 0.196218 0.0322875 -0.733382 22.5176 5
0 5 0.135752 2.12965 0.374333 0.5383 20.6731 4
0 5 0.0762928 0.673642 0.336558 -2.74013 6.71769 3
0 5 0.0412124 0.279783 0.390034 1.45935 3.82843 2
0 6 0.36614 1.37666 0.162559 -2.35688 30.7862 16
0 6 0.247917 2.39895 0.495971 2.89058 16.668 13
0 6 0.20201 0.583715 0.293799 -1.38366 4.16246 9
0 6 0.12296 0.0803014 0.0940197 1.2075 1.41754 6
0 6 0.105949 0.144549 0.216623 -0.387884 1.22804 5
0 6 0.0886431 0.00778419 0.0177973 2.83188 0.904454 3
0 6 0.0302273 0.027739 0.189354 1.20588 0.129808 2
1 0 0.321682 6.30178 0.0439561 -2.5848 4758.26 66
1 0 0.255775 36.8356 0.337869 -1.34049 3484.18 51
1 0 0.129431 3.38189 0.0925621 -2.12377 290.722 25
1 0 0.0759097 1.04503 0.053738 -0.602298 149.547 20
1 0 0.072869 4.80479 0.27198 -1.96826 122.971 19
1 0 0.0552758 0.129156 0.0132385 0.867841 10.7085 10
1 0 0.039163 0.487729 0.0715051 -0.749711 7.88751 9
1 0 0.0185096 0.579732 0.19368 1.67837 3.29766 7
1 0 0.0122247 0.586904 0.368191 -2.37184 1.21534 5
1 0 0.00668162 0.180272 0.327495 1.67915 0.212095 3
1 1 0.366886 5.65385 0.0471796 -0.305272 2187.37 43
1 1 0.320967 1.41611 0.0141763 -1.63698 1284.53 35
1 1 0.198311 16.524 0.270529 -3.10316 1073.19 31
1 1 0.171 0.541604 0.0140944 0.391387 133.654 14
1 1 0.162975 0.0958755 0.00265528 2.06432 69.6672 12
1 1 0.0761243 4.22792 0.251352 -1.6003 66.0328 11
1 1 0.0360152 0.133586 0.0224221 -1.3855 2.52951 5
1 1 0.0126149 0.497186 0.243713 -0.345995 1.7121 4
1 1 0.00963943 0.315287 0.267429 2.37131 0.654254 3
1 2 0.33542 0.254002 0.0152637 -1.68004 102.521 20
1 2 0.25767 0.262897 0.0208706 2.90879 95.4127 19
1 2 0.204836 0.394021 0.0401632 -0.530135 54.6459 18
1 2 0.143101 0.52529 0.0798239 2.28711 29.2553 14
1 2 0.10136 1.52222 0.354529 0.300182 23.5056 10
1 2 0.0803329 0.0450744 0.02052 -2.57347 11.4571 5
1 2 0.0581441 0.65935 0.423328 -0.837238 1.09909 4
1 2 0.030734 0.214367 0.451484 0.601997 0.134493 2
2 0 0.236217 0.0979233 0.000490269 0.669652 169.291 21
2 0 0.147639 0.229863 0.00184217 -3.07364 149.689 20
2 0 0.0579614 0.739781 0.0151294 -2.64497 120.888 19
2 0 0.0551032 0.0946758 0.00206794 2.4121 82.7085 18
2 0 0.0540444 0.405775 0.00905541 -1.0691 77.4196 16
2 0 0.0340532 0.66432 0.0237432 0.368846 31.7626 15
2 0 0.0101598 0.635126 0.0779343 -1.4429 12.4936 14
2 0 0.00639529 0.314926 0.0665797 0.261985 6.53267 11
2 0 0.00552938 0.555867 0.145616 2.89395 4.52676 10
2 0 0.0028235 0.388712 0.2334 -0.480643 2.15475 8
2 0 0.00201666 0.389049 0.426643 -2.55669 1.13432 5
2 0 0.000776189 0.0502397 0.249659 -2.67652 0.0335471 2
2 1 0.382569 0.661749 0.00289019 1.20882 1337.22 27
2 1 0.346664 0.782961 0.00378387 3.03453 1113.4 25
2 1 0.285641 1.27475 0.00750449 -2.11201 713.65 22
2 1 0.0855538 6.5749 0.130163 -2.70968 486.53 20
2 1 0.0740879 0.174717 0.00459185 -1.354 103.1 13
2 1 0.029081 4.62911 0.311376 -1.85791 91.8048 12
2 1 0.0158042 0.100069 0.0179862 1.31392 3.46484 5
2 1 0.0071144 0.641804 0.260952 2.14561 1.80205 4
2 1 0.00406726 0.171889 0.165413 0.869913 0.41446 3
2 1 0.0019874 0.189238 0.446552 0.132303 0.123203 2
2 2 0.311284 0.726839 0.0585894 -2.5271 45.1066 15
2 2 0.213044 1.16461 0.145596 1.03471 30.5004 14
2 2 0.147438 1.56108 0.329947 -1.95426 14.7426 11
2 2 0.120574 1.19978 0.462032 -0.34113 3.00476 7
2 2 0.0935499 0.126572 0.116742 2.55706 0.431601 6
2 2 0.0746357 0.350912 0.459174 -2.24625 0.265596 4
2 2 0.043894 0.086119 0.354229 -2.68867 0.0436822 2
3 0 0.370539 4.21248 0.03949 2.01911 1575.13 42
3 0 0.325471 0.253563 0.00281706 -0.279324 586.798 34
3 0 0.216667 3.46598 0.057949 2.65704 555.723 33
3 0 0.18918 1.39515 0.0283523 0.835593 304.435 29
3 0 0.103085 0.0794928 0.00305111 -0.418187 130.078 24
3 0 0.0814388 0.600815 0.0292768 -3.00297 121.299 23
3 0 0.0784549 0.465589 0.02426 0.979642 105.49 22
3 0 0.0426821 0.399585 0.0392221 2.39367 30.2391 17
3 0 0.0325719 1.85871 0.248825 -2.2635 24.8175 16
3 0 0.0223925 0.631427 0.163684 -1.35785 4.07664 9
3 0 0.0164059 0.076765 0.032477 2.64982 1.01509 6
3 0 0.00966413 0.377533 0.280248 0.815587 0.812275 5
3 0 0.00871378 0.177137 0.202614 -0.914627 0.242479 3
3 0 0.00354198 0.0986185 0.348024 -1.31528 0.0182196 2
3 1 0.367824 0.183092 0.00379944 0.215135 417.635 25
3 1 0.344812 6.34629 0.140908 -1.23131 402.3 24
3 1 0.140499 0.399115 0.0253126 -0.873665 48.6481 16
3 1 0.131303 0.687492 0.0478498 2.93079 41.1862 14
3 1 0.111442 2.11626 0.182242 -1.93735 29.8844 13
3 1 0.0903777 0.137424 0.0178435 -0.378768 4.66826 8
3 1 0.0514785 0.0113998 0.00264585 3.10735 3.56448 7
3 1 0.0428634 0.171641 0.0479704 0.844988 3.5062 6
3 1 0.0358567 0.238229 0.083599 -2.37833 2.39457 5
3 1 0.0334731 0.477479 0.195852 2.41237 1.38098 3
3 1 0.0171002 0.419777 0.419131 1.51016 0.277755 2
3 2 0.251947 1.04299 0.0698738 1.25479 53.9916 20
3 2 0.166956 0.180587 0.0196278 -1.22498 28.6422 14
3 2 0.0987716 2.15926 0.404298 -2.5808 16.6466 12
3 2 0.0771362 0.976324 0.392933 1.33426 3.47353 8
3 2 0.0303484 0.187808 0.316436 -0.326326 1.0271 3
3 2 0.0171152 0.0555499 0.24279 1.82303 0.11557 2
3 3 0.295628 0.0855589 0.00587853 1.15406 77.948 28
3 3 0.276133 1.02934 0.0761443 -1.25207 72.9547 27
3 3 0.261487 1.56448 0.131771 -0.040952 53.1794 23
3 3 0.178731 0.164833 0.0233857 -3.02823 30.6081 18
3 3 0.133763 1.01354 0.196515 0.453809 28.7216 16
3 3 0.127002 0.983347 0.249862 1.9847 19.3666 13
3 3 0.109931 0.0775928 0.0303642 -1.80313 11.9664 10
3 3 0.0875976 0.923113 0.467098 3.00386 9.53158 7
3 3 0.0666764 0.399402 0.49808 -2.42374 2.79126 3
3 3 0.0522393 0.0866044 0.27464 1.77694 1.3056 2
3 4 0.353419 0.321951 0.0233976 -2.69953 29.8151 9
3 4 0.190327 0.295021 0.0407399 0.26297 24.9159 8
3 4 0.147569 0.205035 0.0380633 -2.1674 21.1514 6
3 4 0.0816465 0.220852 0.077018 -0.195577 19.3211 5
3 4 0.0746659 0.655884 0.270982 1.54575 6.9884 4
3 4 0.0603485 0.144348 0.101208 -2.20916 4.19688 3
3 4 0.0252039 0.255091 0.476458 2.31463 3.60609 2
4 0 0.223372 1.29397 0.0151941 -0.266045 849.917 31
4 0 0.187239 0.445191 0.00633253 1.80048 583.626 26
4 0 0.166699 1.76839 0.0284242 -2.74834 370.466 24
4 0 0.131063 0.601034 0.0126463 -0.781649 245.607 21
4 0 0.0878035 3.97146 0.126283 -2.81246 212.681 19
4 0 0.0766551 1.37404 0.0572787 -1.60405 72.9348 13
4 0 0.0421627 1.2351 0.099287 -0.0789239 39.1216 12
4 0 0.0274798 0.270211 0.0370015 0.950615 22.5978 11
4 0 0.01736 0.440472 0.0991442 -0.334973 15.5236 9
4 0 0.0159972 0.25905 0.07024 -1.80403 2.99978 6
4 0 0.0111045 0.445073 0.186984 0.515979 1.70527 5
4 0 0.00632731 0.506891 0.45969 -0.868632 0.601459 4
4 0 0.00358075 0.067048 0.198856 -1.77524 0.140385 2
4 1 0.38436 0.151755 0.00108522 -2.59423 145.446 16
4 1 0.194411 0.25642 0.00362923 1.31217 86.2413 14
4 1 0.0826305 0.376836 0.0125943 -1.78956 62.4606 13
4 1 0.0683689 1.41563 0.0579104 1.50873 48.6352 11
4 1 0.0453488 0.141894 0.009289 2.74343 14.7738 10
4 1 0.0216895 0.515059 0.071159 -1.07321 10.4324 9
4 1 0.018362 0.894464 0.157151 0.839506 6.21923 8
4 1 0.00946841 0.230272 0.0930872 -0.857522 1.21043 5
4 1 0.00811697 0.085184 0.0442918 1.78668 0.284865 3
4 1 0.00423189 0.119657 0.124864 -1.17028 0.122608 2
4 2 0.378384 1.01751 0.0334402 2.42843 267.522 29
4 2 0.3139 11.0819 0.454016 -1.75925 219.3 25
4 2 0.198136 1.0134 0.120428 -1.13967 27.304 16
4 2 0.18669 0.86641 0.12413 -2.30141 14.8996 12
4 2 0.172801 0.311788 0.0550754 0.729758 8.01529 9
4 2 0.0840469 0.598555 0.229935 -2.71613 5.9966 8
4 2 0.0526956 0.501702 0.399135 -0.951141 2.17984 4
4 2 0.0491332 0.335005 0.475628 -2.46317 0.164688 2
4 3 0.363768 0.308183 0.0115744 -0.689988 54.5906 18
4 3 0.292712 0.0552778 0.00261008 0.707714 42.5571 16
4 3 0.218471 0.922875 0.0585364 -1.61516 41.281 15
4 3 0.149427 1.37095 0.13488 2.8518 23.3405 12
4 3 0.122767 0.413548 0.0572296 0.712588 6.43138 8
4 3 0.0949382 0.0168137 0.00319145 -0.237037 3.1061 6
4 3 0.0667669 0.358992 0.0971856 2.79177 3.00823 5
4 3 0.038522 0.721727 0.375088 -1.18105 1.40864 3
4 4 0.360637 0.757946 0.0654085 0.102386 65.8933 22
4 4 0.305728 0.815988 0.0887225 -2.31877 51.2335 17
4 4 0.245826 0.204068 0.0302725 2.20029 33.1116 14
4 4 0.199005 0.47355 0.089464 1.17321 30.8053 13
4 4 0.145969 0.940522 0.265495 -0.00411245 25.439 10
4 4 0.12281 0.620028 0.283185 1.87625 9.39526 7
4 4 0.108369 0.177934 0.128397 3.04793 5.97333 5
4 4 0.0765918 0.271802 0.318284 -2.36066 5.02559 4
4 4 0.0413491 0.125146 0.398116 0.254278 2.24345 2
4 5 0.325823 1.33701 0.135677 1.66215 44.2566 16
4 5 0.317989 1.02617 0.122787 -3.03243 25.3921 14
4 5 0.196258 1.35381 0.298785 -2.20326 13.0607 12
4 5 0.163858 0.130892 0.0493177 2.68491 1.63307 7
4 5 0.0880886 0.669683 0.493665 1.26364 1.19832 5
4 5 0.0461218 0.0610071 0.16962 2.492 0.0182196 2
4 6 0.335656 2.75464 0.279934 2.44754 52.7715 16
4 6 0.259843 2.56418 0.46614 -2.19115 11.1608 8
4 6 0.160044 0.491819 0.271848 1.27803 0.897903 5
4 6 0.0368515 0.101689 0.33524 1.71998 0.107936 2
4 7 0.258548 0.653762 0.091423 1.43276 28.8627 13
4 7 0.198185 0.181915 0.036504 -2.83313 18.9675 10
4 7 0.138569 1.65461 0.49173 -0.217489 17.4002 8
