# event jet Delta kt z psi m2 multiplicity 
0 0 0.372809 0.348205 0.00100337 -2.32099 2475.6 56
0 0 0.386012 0.382381 0.00106519 0.810183 2121.49 52
0 0 0.377804 0.00790242 2.25158e-05 -0.476701 1959.86 50
0 0 0.23819 0.1837 0.000830198 -2.48287 1957.06 49
0 0 0.177905 8.06578 0.0488148 -0.422726 1914.77 47
0 0 0.0661482 5.83608 0.099869 -1.54791 436.819 34
0 0 0.0570033 0.408135 0.00900365 -3.05716 80.9758 24
0 0 0.0312874 0.149601 0.00606745 -1.17907 54.6785 17
0 0 0.0252994 0.732709 0.0369748 0.89982 50.555 15
0 0 0.0205322 0.106621 0.0068842 -1.89672 29.4524 12
0 0 0.0136692 0.427518 0.0417501 2.91992 24.8107 11
0 0 0.0093465 0.290789 0.0433406 -0.684622 18.3379 9
0 0 0.00537072 1.7138 0.46466 0.0553007 15.3276 8
0 0 0.00414809 0.608055 0.398723 -2.00288 4.15551 5
0 0 0.00226946 0.217411 0.433371 -1.66217 2.13589 3
0 0 0.00139437 0.00538998 0.0308613 2.26843 0.0210124 2
0 1 0.289146 1.47393 0.00584921 3.06935 4719.71 93
0 1 0.276605 1.49795 0.00625017 -0.967748 3814 85
0 1 0.171973 11.5865 0.0782449 1.41393 3387.2 81
0 1 0.109511 0.438793 0.00504822 2.99852 1381.4 64
0 1 0.108178 0.212825 0.00249126 -1.73329 1332.86 63
0 1 0.0962432 2.56619 0.0338432 0.0421991 1311.42 62
0 1 0.0584016 8.58163 0.193006 -0.601647 956.818 57
0 1 0.0405957 5.76227 0.231015 2.30805 477.692 46
0 1 0.0409759 5.75989 0.297477 0.722722 233.685 36
0 1 0.0374201 0.947234 0.0762532 -1.56041 38.8186 21
0 1 0.0244746 3.03029 0.403759 1.48448 25.3464 18
0 1 0.0210221 0.530622 0.138048 0.149207 4.10992 9
0 1 0.00988258 0.694654 0.445996 -2.63216 1.50583 6
0 1 0.00761589 0.191906 0.288594 1.11754 0.390537 4
0 2 0.222835 1.36164 0.0912051 3.11519 82.9885 21
0 2 0.159619 1.64853 0.169354 -0.332518 50.3871 15
0 2 0.101515 0.191842 0.0373013 2.50983 19.2252 8
0 2 0.0655325 0.691284 0.216206 0.179275 17.0642 6
0 2 0.0581165 0.766915 0.345048 -1.08407 1.21206 3
0 3 0.240687 1.80879 0.116704 0.512195 137.538 31
0 3 0.205451 0.764525 0.0653732 -0.697264 82.5268 26
0 3 0.153508 0.875259 0.107141 -2.1071 67.7121 24
0 3 0.155844 1.90016 0.256138 2.66522 36.089 15
0 3 0.0988698 0.781731 0.223135 0.417314 14.9851 8
0 3 0.0691312 0.649335 0.341192 1.9003 9.36658 4
0 3 0.0562485 0.484681 0.474923 -2.98325 1.9755 2
0 4 0.252517 0.152609 0.0137477 -3.12207 22.7787 14
0 4 0.18111 0.382063 0.0486365 -0.728259 18.5419 12
0 4 0.141148 0.821734 0.141061 1.19771 14.0909 9
0 4 0.0953021 0.64713 0.191492 -0.865819 4.46357 5
0 4 0.0750584 0.286439 0.133069 -2.91569 1.14791 4
0 4 0.0446059 0.533701 0.481227 1.94531 0.531958 3
0 5 0.194272 0.674147 0.140633 -2.63983 6.98623 8
0 5 0.154797 0.508951 0.154993 -1.057 3.50014 7
0 5 0.0765447 0.378414 0.275654 2.81198 1.35008 5
0 5 0.0734144 0.459025 0.481248 1.13511 0.654322 4
0 5 0.0590564 0.0687508 0.172707 -2.36071 0.200424 3
0 6 0.354235 1.41469 0.196395 -1.82173 60.1903 18
0 6 0.324535 0.175013 0.0329471 -0.127365 32.3814 9
0 6 0.209418 0.822238 0.247274 -2.63938 10.4842 7
0 6 0.118151 0.0589088 0.0417151 1.82256 6.16118 5
0 6 0.106469 0.323478 0.265032 0.47432 5.37773 4
0 6 0.0469291 0.0230824 0.0583764 -2.20153 0.943372 2
1 0 0.299248 0.475512 0.00110596 -2.46573 6673.63 51
1 0 0.266525 0.594387 0.00155383 2.75885 6336.97 47
1 0 0.18481 14.2922 0.0539306 -0.5109 6074.62 45
1 0 0.0864525 4.25098 0.0362405 -2.9172 941.629 30
1 0 0.0572887 0.343666 0.00458753 -0.504692 311.258 26
1 0 0.0521556 1.90859 0.0281136 -1.97517 284.324 25
1 0 0.0325582 0.415331 0.0100838 1.32291 117.8 20
1 0 0.0231396 0.42286 0.0145925 -0.430597 94.5134 18
1 0 0.0207899 0.956147 0.0372688 2.45854 76.7488 15
1 0 0.0150724 0.633752 0.0353917 -2.80739 38.5833 13
1 0 0.00726023 0.754697 0.0907061 0.711763 25.0336 11
1 0 0.00472094 1.09004 0.221576 -0.799556 14.3719 9
1 0 0.00477904 1.39354 0.359477 -2.30462 7.70865 6
1 0 0.00331773 0.10378 0.0602047 3.11178 2.16482 4
1 0 0.00220971 0.301914 0.279816 1.21312 1.87648 3
1 1 0.363558 0.480439 0.000931503 1.83138 15560.2 85
1 1 0.292691 16.1357 0.0388505 -2.59936 15060.4 81
1 1 0.131103 21.3334 0.119273 -2.19248 5480.56 60
1 1 0.118809 0.169484 0.00118721 1.21959 656.035 40
1 1 0.046465 0.404744 0.00725806 -1.07014 629.745 37
1 1 0.0301936 3.35505 0.0932605 3.06409 602.916 35
1 1 0.0308797 13.6726 0.409833 1.3779 421.223 29
1 1 0.0196523 1.98382 0.158322 -1.57965 59.1841 19
1 1 0.0191925 1.35915 0.131958 -0.194143 28.5685 13
1 1 0.0113217 1.33028 0.252226 1.47087 13.9172 11
1 1 0.008719 0.728287 0.239785 2.54064 4.98571 7
