# event jet log1overDelta logkt z Delta kt
0 0 1.08373 0.706157 0.0670346 0.33833 2.02619
0 0 1.11817 -0.740483 0.0175031 0.326879 0.476883
0 0 1.87659 -0.955937 0.0306527 0.153111 0.384452
0 0 2.77651 0.534448 0.345209 0.0622555 1.70651
0 0 3.06041 -0.0979297 0.372003 0.0468683 0.906713
0 0 3.22189 -0.882209 0.317757 0.0398797 0.413868
1 0 1.48921 0.222822 0.190792 0.225551 1.2496
1 0 1.46053 -0.222822 0.146711 0.232114 0.800257
1 0 1.94825 -1.30173 0.0951962 0.142523 0.272061
1 0 2.53573 -2.2688 0.0719681 0.0792036 0.103436
1 0 3.35289 -3.41889 0.055587 0.0349831 0.0327487
3 0 0.973569 0.41855 0.16898 0.377733 1.51976
3 0 1.41411 -1.4584 0.048335 0.243142 0.232609
3 0 1.62619 0.595865 0.488124 0.196677 1.8146
3 0 1.94982 -1.20232 0.218087 0.1423 0.300497
3 0 2.06466 -3.20002 0.0424275 0.126861 0.0407612
3 0 2.62614 -2.49514 0.157147 0.0723569 0.0824852
3 0 2.87242 -1.99164 0.394615 0.0565618 0.136471
3 0 3.0837 -2.69361 0.398992 0.0457895 0.0676364
5 0 1.14173 -3.40922 0.00149023 0.319265 0.033067
5 0 1.23271 -1.33733 0.0129784 0.291502 0.262547
5 0 1.34541 -1.63133 0.0109679 0.260433 0.19567
5 0 1.87196 0.201142 0.117194 0.153821 1.2228
5 0 2.02024 0.795828 0.279051 0.132623 2.21628
5 0 2.33467 -1.64065 0.0463558 0.096842 0.193855
5 0 3.03778 -2.2815 0.0517291 0.0479411 0.102131
5 0 3.77054 -1.92169 0.162663 0.0230396 0.14636
6 0 0.963014 -0.320808 0.0157369 0.381741 0.725563
6 0 1.24504 -0.528367 0.0172177 0.287929 0.589567
6 0 1.6203 2.22459 0.399993 0.197838 9.24969
6 0 1.93959 -0.902073 0.0402258 0.143762 0.405728
6 0 2.14998 0.345903 0.180001 0.116486 1.41327
6 0 2.52133 0.377522 0.328434 0.080353 1.45867
6 0 3.45824 -2.79313 0.0523903 0.0314852 0.0612292
6 0 4.09526 -2.01052 0.22864 0.0166513 0.133919
7 0 1.98766 -0.54824 0.11232 0.137016 0.577966
7 0 2.23001 -0.327316 0.200995 0.107528 0.720856
7 0 2.36854 -1.54459 0.0855173 0.0936177 0.213399
